"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
0,138.086023084596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492235849873,0.293021497949794,2.85896288162745,50,0,0,0,0,0,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
1,138.086023084597,1.19371179607697e-12,8.58254316000482e-15,NA,NA,3.00285966828677e-06,0.499998498574674,1,TRUE,FALSE,NA,NA,111,TRUE,1e-07,7.3931947081993e-07,TRUE,2,3,NA,0.102492236557257,0.293021497962124,2.85896286201567,50,0,0,0,0,0.170835971832275,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
2,138.086023084599,1.84741111297626e-12,1.32825072714359e-14,NA,NA,9.45111200472836e-07,0.999999054889693,0,TRUE,FALSE,NA,NA,1,TRUE,1e-05,2.32587986896923e-07,FALSE,0,1,NA,0.102492237018489,0.293021497955982,2.85896284908996,50,0,0,0,0,0.176187038421631,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
3,138.086023084598,-1.02318153949454e-12,7.35646556571826e-15,NA,NA,4.59886091989944e-07,0.999999540114119,0,TRUE,FALSE,NA,NA,1,TRUE,1e-05,1.13279333899218e-07,FALSE,0,1,"relative_change",0.102492236789535,0.293021497945525,2.85896285537446,50,0,0,0,0,0.179075956344604,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
0,138.086023084598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492236789535,0.293021497945525,2.85896285537446,50,0,0,0,0,0,2,3.66654767904032,7.57979029781112,1e-04,"case_relative_change"
1,138.086023084598,0,0,NA,NA,0.0362940584079539,0,4,FALSE,FALSE,NA,NA,4000,FALSE,1e-08,0.010641344382669,TRUE,3,4,NA,0.102492236789535,0.293021497945525,2.85896285537446,50,0,0,0,0,2.7482750415802,2,3.66654767904032,7.57979029781112,1e-04,"case_relative_change"
0,138.086023084598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492236789535,0.293021497945525,2.85896285537446,50,0,0,0,0,0,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
1,137.685711348387,-0.400311736210142,0.0028781593386034,NA,NA,1.04010313113687,0.490171298076848,0,TRUE,FALSE,NA,NA,41,TRUE,1e-05,0.279021741373645,FALSE,0,1,NA,0.102492205577576,0.293021496874822,2.85896371556796,94,44,0.0176,0,0,0.0278210639953613,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
2,137.641763348425,-0.0439479999623984,0.000316889170016933,NA,NA,3.86707975184225,0.102731006166633,1,TRUE,FALSE,NA,NA,1000,FALSE,1e-05,1.05834280890538,FALSE,0,1,NA,0.102481911741402,0.292997571902938,2.85901742975166,133,83,0.0332,0,0,0.725806951522827,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
3,137.641763348425,0,0,NA,NA,4.72123615265834,0,4,FALSE,FALSE,NA,NA,4000,FALSE,1e-08,1.27766797318833,TRUE,3,4,NA,0.102481911741402,0.292997571902938,2.85901742975166,133,83,0.0332,0,0,3.37802600860596,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
0,136.858830202111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102481911741402,0.292997571902938,2.85901742975166,133,83,0.0332,0,0,0,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
1,136.467823398436,-0.391006803674628,0.00283628406755943,NA,NA,1.01911633684293,0.495266162604374,0,TRUE,FALSE,NA,NA,45,TRUE,1e-05,0.289133052038031,FALSE,0,1,NA,0.102669499078869,0.293000423964663,2.85382150096579,133,83,0.0332,0,0,0.0320310592651367,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
2,136.334182737011,-0.133640661425773,0.000972159579761649,NA,NA,0.547365189613131,0.646259853015058,0,TRUE,FALSE,NA,NA,135,TRUE,1e-05,0.15950298485468,FALSE,0,1,NA,0.102884563103885,0.293011051406396,2.84795933001665,133,83,0.0332,0,0,0.661289930343628,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
3,136.311670152771,-0.0225125842397631,0.000163925570394035,NA,NA,0.21283097278334,0.824517201853023,0,TRUE,FALSE,NA,NA,14,TRUE,1e-05,0.0636127752207331,FALSE,0,1,NA,0.103017072377147,0.293019186455719,2.84437501177448,133,83,0.0332,0,0,0.673382043838501,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
4,136.310733004577,-0.000937148193941084,6.82497119799378e-06,NA,NA,0.0415236736884308,0.960131800421416,0,TRUE,FALSE,NA,NA,7,TRUE,1e-05,0.0125662734269303,FALSE,0,1,"relative_change",0.103050179942937,0.293021392900249,2.84348259326189,133,83,0.0332,0,0,0.680052995681763,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
0,134.789979191087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.103050179942937,0.293021392900249,2.84348259326189,133,83,0.0332,0,0,0,5,2.29544825067144,4.74534027718437,1e-04,"case_relative_change"
1,134.789979191087,0,0,NA,NA,2.44841608272396,0,4,FALSE,FALSE,NA,NA,4000,FALSE,1e-08,0.562455705480009,TRUE,3,4,NA,0.103050179942937,0.293021392900249,2.84348259326189,133,83,0.0332,0,0,2.74370980262756,5,2.29544825067144,4.74534027718437,1e-04,"case_relative_change"
0,133.489024102925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.103050179942937,0.293021392900249,2.84348259326189,133,83,0.0332,0,0,0,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
1,132.482343982474,-1.00668012045065,0.00748522139383092,NA,NA,1.70279954131788,0.369986743268575,0,TRUE,FALSE,NA,NA,1000,FALSE,1e-05,0.53365700010633,FALSE,0,1,NA,0.1038153371299,0.293019836807778,2.8225100925226,135,85,0.034,0,0,42.4537351131439,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
2,131.802451366841,-0.67989261563315,0.00509350222170521,NA,NA,1.44064085920064,0.409728451537732,0,TRUE,FALSE,NA,NA,128,TRUE,1e-05,0.461886930757125,FALSE,0,1,NA,0.104525855693673,0.295415929632821,2.82624741670212,149,99,0.0396,0,0,44.8592870235443,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
3,131.483180462488,-0.319270904353118,0.00240410399858655,NA,NA,0.904419135835634,0.525094492689611,0,TRUE,FALSE,NA,NA,140,TRUE,1e-05,0.303080055738671,FALSE,0,1,NA,0.106000744649419,0.298817800117589,2.81901604659365,149,99,0.0396,0,0,46.1129410266876,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
4,131.385393851961,-0.0977866105266401,0.000738105850005074,NA,NA,0.464421432938857,0.682863537440286,0,TRUE,FALSE,NA,NA,17,TRUE,1e-05,0.16263913196138,FALSE,0,1,NA,0.10746714267117,0.301856627836686,2.80882714785032,149,99,0.0396,0,0,46.1271951198578,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
5,131.372650353374,-0.0127434985870707,9.62606086387522e-05,NA,NA,0.160838428315571,0.861446326730452,0,TRUE,FALSE,NA,NA,14,TRUE,1e-05,0.0582709383427277,FALSE,0,1,"relative_change",0.108266194076638,0.30342260989094,2.80256097001209,149,99,0.0396,0,0,46.1373860836029,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
0,128.413868263846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.108266194076638,0.30342260989094,2.80256097001209,149,99,0.0396,0,0,0,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
1,128.025038071291,-0.388830192555702,0.00300454810424925,NA,NA,1.01730123807635,0.49571178618498,0,TRUE,FALSE,NA,NA,28,TRUE,1e-05,0.372007035295549,FALSE,0,1,NA,0.11005702642089,0.308769447945923,2.80554052737258,150,100,0.04,0,0,0.023144006729126,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
2,127.88827341652,-0.136764654770786,0.00105998538590021,NA,NA,0.557485399642228,0.642060593460274,0,TRUE,FALSE,NA,NA,18,TRUE,1e-05,0.215002246484636,FALSE,0,1,NA,0.111545238349273,0.314308599224413,2.81776796460144,150,100,0.04,0,0,0.0361948013305664,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
3,127.864876300328,-0.0233971161924273,0.000181530216614947,NA,NA,0.219154355267453,0.820240682141208,0,TRUE,FALSE,NA,NA,15,TRUE,1e-05,0.0881911983408643,FALSE,0,1,NA,0.112364238133389,0.317772693972275,2.82805899146528,150,100,0.04,0,0,0.0484209060668945,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
4,127.863933814564,-0.000942485763218315,7.31375212763013e-06,NA,NA,0.0433840671043422,0.958419848958645,0,TRUE,FALSE,NA,NA,13,TRUE,1e-05,0.0178878608942747,FALSE,0,1,"relative_change",0.11256240402605,0.318691053417926,2.83123886856728,150,100,0.04,0,0,0.0605478286743164,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
0,124.381413605216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.11256240402605,0.318691053417926,2.83123886856728,150,100,0.04,0,0,0,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
1,124.03641750817,-0.344996097045296,0.00275157287771195,NA,NA,0.945443213681014,0.514021685633208,0,TRUE,FALSE,NA,NA,132,TRUE,1e-05,0.387796273767946,FALSE,0,1,NA,0.114694842067357,0.327431392348253,2.85480485823384,150,100,0.04,0,0,1.77873802185059,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
2,123.921113047859,-0.115304460311137,0.00092216701828971,NA,NA,0.507275003937024,0.66344893757807,0,TRUE,FALSE,NA,NA,18,TRUE,1e-05,0.22071387299195,FALSE,0,1,NA,0.116316413624369,0.334957652990679,2.87971097589362,150,100,0.04,0,0,1.79329586029053,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
3,123.903477795852,-0.0176352520074943,0.000141171108527811,NA,NA,0.189622737324413,0.840602628568705,0,TRUE,FALSE,NA,NA,15,TRUE,1e-05,0.0862490358337746,FALSE,0,1,NA,0.117122004502528,0.339070036765706,2.89501565658731,150,100,0.04,0,0,1.8058819770813,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
4,123.902915169469,-0.000562626382745179,4.50448932786934e-06,NA,NA,0.0335244105227345,0.967563020107306,0,TRUE,FALSE,NA,NA,13,TRUE,1e-05,0.0156159637681876,FALSE,0,1,"relative_change",0.117288308842485,0.339991974498797,2.89877122327168,150,100,0.04,0,0,1.81588196754456,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
0,120.077587308961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.117288308842485,0.339991974498797,2.89877122327168,150,100,0.04,0,0,0,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
1,119.759222385566,-0.318364923395237,0.00262942903365629,NA,NA,0.900819748709778,0.526088810198217,0,TRUE,FALSE,NA,NA,128,TRUE,1e-05,0.416485107606761,FALSE,0,1,NA,0.119612879778363,0.351760121040821,2.9408214373955,150,100,0.04,1,0.000816326530612245,1.8476619720459,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
2,119.65647907962,-0.102743305945808,0.000850811258271968,NA,NA,0.47617877322102,0.677424725338653,0,TRUE,FALSE,NA,NA,19,TRUE,1e-05,0.234311955789015,FALSE,0,1,NA,0.121279378546568,0.361102671546736,2.977444936429,150,100,0.04,1,0.000816326530612245,1.86324906349182,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
3,119.641915539691,-0.0145635399291137,0.000120702510467784,NA,NA,0.171967148976392,0.853266237772458,0,TRUE,FALSE,NA,NA,16,TRUE,1e-05,0.0885331910408828,FALSE,0,1,NA,0.12206248358036,0.36582670960098,2.99704461903839,150,100,0.04,1,0.000816326530612245,1.87591600418091,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
4,119.641518586772,-0.000396952919061277,3.29033998909509e-06,NA,NA,0.0281357860330993,0.972634173019444,0,TRUE,FALSE,NA,NA,12,TRUE,1e-05,0.0148311928015335,FALSE,0,1,"relative_change",0.122210521203658,0.366773373786455,3.00116037616142,150,100,0.04,1,0.000816326530612245,1.88541197776794,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
0,115.594630486086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.122210521203658,0.366773373786455,3.00116037616142,150,100,0.04,1,0.000816326530612245,0,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
1,115.29491985487,-0.29971063121603,0.00257053545233197,NA,NA,0.869069489453276,0.535025586604868,0,TRUE,FALSE,NA,NA,124,TRUE,1e-05,0.450696687754389,FALSE,0,1,NA,0.124212194211552,0.381339868287055,3.07006788429786,150,100,0.04,5,0.00408163265306122,1.92403101921082,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
2,115.201243115949,-0.0936767389214026,0.000805510155029181,NA,NA,0.452719471244143,0.68836414723868,0,TRUE,FALSE,NA,NA,131,TRUE,1e-05,0.250555145840938,FALSE,0,1,NA,0.125642983226662,0.392383171330078,3.1230010721905,150,100,0.04,5,0.00408163265306122,3.75706791877747,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
3,115.188797035644,-0.0124460803048123,0.000107107978977413,NA,NA,0.158715731716111,0.863024443897861,0,TRUE,FALSE,NA,NA,16,TRUE,1e-05,0.0920290850997114,FALSE,0,1,NA,0.12633934501266,0.397652206540988,3.14749301970135,150,100,0.04,5,0.00408163265306122,3.77019095420837,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
4,115.188499174029,-0.000297861614782846,2.56360012653776e-06,NA,NA,0.0243277650052119,0.976250018952588,0,TRUE,FALSE,NA,NA,12,TRUE,1e-05,0.0144514792170115,FALSE,0,1,"relative_change",0.126470440597468,0.398627677078738,3.15194345173111,150,100,0.04,5,0.00408163265306122,3.77976489067078,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
0,111.003487067582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.126470440597468,0.398627677078738,3.15194345173111,150,100,0.04,5,0.00408163265306122,0,11,0.899679542499283,1.85989188313518,1e-04,"case_relative_change"
1,110.7229732796,-0.280513787982784,0.00250450941597491,NA,NA,0.83576842096071,0.544731017584817,0,TRUE,FALSE,NA,NA,116,TRUE,1e-05,0.489594524154679,FALSE,0,1,NA,0.128076679542014,0.415949150596762,3.24765720101538,150,100,0.04,6,0.00489795918367347,2.47593092918396,11,0.899679542499283,1.85989188313518,1e-04,"case_relative_change"
2,110.638495432407,-0.0844778471929999,0.000756136761430296,NA,NA,0.428120845450722,0.700220855388744,0,TRUE,FALSE,NA,NA,122,TRUE,1e-05,0.267918276176253,FALSE,0,1,NA,0.129347796180092,0.428616672886147,3.31367588427546,150,100,0.04,6,0.00489795918367347,4.96761202812195,11,0.899679542499283,1.85989188313518,1e-04,"case_relative_change"
3,110.628093861283,-0.0104015711238645,9.3171903504937e-05,NA,NA,0.144733976745513,0.873565404988683,0,TRUE,FALSE,NA,NA,17,TRUE,1e-05,0.0948496776756332,FALSE,0,1,"relative_change",0.129989882170613,0.43433607365949,3.3413067725488,150,100,0.04,6,0.00489795918367347,4.9806489944458,11,0.899679542499283,1.85989188313518,1e-04,"case_relative_change"
0,106.397028270824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.129989882170613,0.43433607365949,3.3413067725488,150,100,0.04,6,0.00489795918367347,0,12,0.769646387302891,1.5910766011778,1e-04,"case_relative_change"
1,106.12529355887,-0.271734711954082,0.00253018837047191,NA,NA,0.82017439689036,0.549397904787821,0,TRUE,FALSE,NA,NA,105,TRUE,1e-05,0.541452241175013,FALSE,0,1,NA,0.131653750502237,0.454615140969419,3.4531119640355,150,100,0.04,11,0.00897959183673469,2.403165102005,12,0.769646387302891,1.5910766011778,1e-04,"case_relative_change"
2,106.044661586116,-0.0806319727541904,0.000752688464838415,NA,NA,0.417470994602753,0.705481807957736,0,TRUE,FALSE,NA,NA,110,TRUE,1e-05,0.294590329563317,FALSE,0,1,NA,0.132997248817983,0.469170911244286,3.52767380839872,150,100,0.04,11,0.00897959183673469,4.84113311767578,12,0.769646387302891,1.5910766011778,1e-04,"case_relative_change"
3,106.035045543943,-0.00961604217241074,8.98320572920377e-05,NA,NA,0.138930489397965,0.878016708928915,0,TRUE,FALSE,NA,NA,20,TRUE,1e-05,0.102649204170648,FALSE,0,1,"relative_change",0.133662132790446,0.475577068469286,3.55805386717036,150,100,0.04,11,0.00897959183673469,4.85736989974976,12,0.769646387302891,1.5910766011778,1e-04,"case_relative_change"
0,101.802272265233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.133662132790446,0.475577068469286,3.55805386717036,150,100,0.04,11,0.00897959183673469,0,13,0.658407281155739,1.3611139302077,1e-04,"case_relative_change"
1,101.800389001667,-0.0018832635662136,1.8319279571513e-05,NA,NA,1.86406017967682,0.174577337287801,1,TRUE,FALSE,NA,NA,1000,FALSE,1e-05,0.572770453674401,FALSE,0,1,"relative_change",0.12084585806761,0.487598217125183,4.03487736296585,150,100,0.04,11,0.00897959183673469,18.5942919254303,13,0.658407281155739,1.3611139302077,1e-04,"case_relative_change"
0,98.1337173227295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.12084585806761,0.487598217125183,4.03487736296585,150,100,0.04,11,0.00897959183673469,0,14,0.563245868531947,1.16438839565236,1e-04,"case_relative_change"
1,97.4556435089061,-0.678073813823403,0.00683999180234446,NA,NA,1.43313146008957,0.410993000749408,0,TRUE,FALSE,NA,NA,58,TRUE,1e-05,1.02034336619798,FALSE,0,1,NA,0.127347014812549,0.514975669105545,4.04387703837089,150,100,0.04,27,0.0220408163265306,0.041982889175415,14,0.563245868531947,1.16438839565236,1e-04,"case_relative_change"
