"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol"
2,1,1e-07,0,TRUE,184,TRUE,6,1.96368081068312,4.05948321411427,1e-05
3,1,1e-07,0,TRUE,203,TRUE,6,1.96368081068312,4.05948321411427,1e-05
4,1,1e-07,0,TRUE,49,TRUE,6,1.96368081068312,4.05948321411427,1e-05
5,1,1e-07,0,TRUE,45,TRUE,6,1.96368081068312,4.05948321411427,1e-05
6,1,1e-07,0,TRUE,37,TRUE,6,1.96368081068312,4.05948321411427,1e-05
1,1,1e-07,0,TRUE,80,TRUE,7,1.67986462997683,3.47275495603733,1e-05
2,1,1e-07,0,TRUE,51,TRUE,7,1.67986462997683,3.47275495603733,1e-05
3,1,1e-07,0,TRUE,46,TRUE,7,1.67986462997683,3.47275495603733,1e-05
4,1,1e-07,0,TRUE,39,TRUE,7,1.67986462997683,3.47275495603733,1e-05
1,1,1e-07,0,TRUE,216,TRUE,8,1.4370691813531,2.97082814451621,1e-05
2,1,1e-07,0,TRUE,52,TRUE,8,1.4370691813531,2.97082814451621,1e-05
3,1,1e-07,0,TRUE,46,TRUE,8,1.4370691813531,2.97082814451621,1e-05
4,1,1e-07,0,TRUE,38,TRUE,8,1.4370691813531,2.97082814451621,1e-05
1,1,1e-07,0,TRUE,324,TRUE,9,1.22936562574292,2.54144619357784,1e-05
2,1,1e-07,0,TRUE,52,TRUE,9,1.22936562574292,2.54144619357784,1e-05
3,1,1e-07,0,TRUE,47,TRUE,9,1.22936562574292,2.54144619357784,1e-05
4,1,1e-07,0,TRUE,37,TRUE,9,1.22936562574292,2.54144619357784,1e-05
1,1,1e-07,0,TRUE,332,TRUE,10,1.05168203547115,2.17412399528183,1e-05
2,1,1e-07,0,TRUE,334,TRUE,10,1.05168203547115,2.17412399528183,1e-05
3,1,1e-07,0,TRUE,50,TRUE,10,1.05168203547115,2.17412399528183,1e-05
