"omega_stop_mode","sub_stop_mode","omega_stop_metric","inner_iter","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
"duality_gap","residual_plus_proxy",0,22.8849557522124,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,500.5,2,3.66654767904032,7.57979029781112,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,496.60007934934,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00203567103575761,51.4825870646767,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,500.5,5,2.29544825067144,4.74534027718437,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0228546252026632,399.448806774444,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,10.6486486486487,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00742429086465173,51.4606741573033,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0076920768180756,49.4857142857143,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00968859892685693,58.6925795053004,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0147236578163426,56.635294117647,11,0.899679542499283,1.85989188313518,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0162500592385169,50.5531914893617,12,0.769646387302891,1.5910766011778,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0144339639363147,500.5,13,0.658407281155739,1.3611139302077,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0,18.986013986014,14,0.563245868531947,1.16438839565236,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.005376116708892,19.2688172043011,15,0.481838396230109,0.996096142901866,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00537143285918246,19.0526315789474,16,0.412196969481073,0.85212763164655,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00524567486928217,18.9090909090909,17,0.352621009406314,0.728967284724337,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.004742710051742,20.7927927927928,18,0.301655726463164,0.623607640995718,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00415304090504668,24.40625,19,0.258056595837054,0.533475915939497,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0228503721685201,42.747311827957,20,0.220758967302882,0.456371176647336,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0220610958186642,45.8838383838384,21,0.188852067456581,0.390410597088876,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00285179348186257,40.3678756476684,22,0.161556759475561,0.333983481251,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00823207267741003,26.8951048951049,23,0.138206517322057,0.285711931439055,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00912904044649371,25.6865671641791,24,0.118231149797118,0.244417201296511,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00935019052552127,27.2296296296296,25,0.101142877001776,0.209090911915109,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00459908179155973,29.4428571428571,26,0.0865244192055192,0.178870428159656,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00433322765711548,32.3576158940397,27,0.0740188072633227,0.153017793920229,1e-04,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0040574516346027,35.4074074074074,28,0.0633206657610876,0.130901711910223,1e-04,"case_relative_change"
