"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
5,1,1e-08,3,TRUE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,1000,FALSE,12,0.769646387302891,1.5910766011778,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,1000,FALSE,12,0.769646387302891,1.5910766011778,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,1000,FALSE,12,0.769646387302891,1.5910766011778,1e-07,"case_relative_change"
4,1,1e-08,4,FALSE,1000,FALSE,12,0.769646387302891,1.5910766011778,1e-07,"case_relative_change"
4,2,1e-09,0,TRUE,1000,FALSE,12,0.769646387302891,1.5910766011778,1e-07,"case_relative_change"
5,1,1e-08,4,FALSE,1000,FALSE,12,0.769646387302891,1.5910766011778,1e-07,"case_relative_change"
5,2,1e-09,0,TRUE,1000,FALSE,12,0.769646387302891,1.5910766011778,1e-07,"case_relative_change"
1,1,1e-08,2,TRUE,1000,FALSE,13,0.658407281155739,1.3611139302077,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,1000,FALSE,13,0.658407281155739,1.3611139302077,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,230,TRUE,13,0.658407281155739,1.3611139302077,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,123,TRUE,13,0.658407281155739,1.3611139302077,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,114,TRUE,13,0.658407281155739,1.3611139302077,1e-07,"case_relative_change"
6,1,1e-08,0,TRUE,79,TRUE,13,0.658407281155739,1.3611139302077,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,222,TRUE,14,0.563245868531947,1.16438839565236,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,231,TRUE,14,0.563245868531947,1.16438839565236,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,239,TRUE,14,0.563245868531947,1.16438839565236,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,96,TRUE,14,0.563245868531947,1.16438839565236,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,53,TRUE,14,0.563245868531947,1.16438839565236,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,214,TRUE,15,0.481838396230109,0.996096142901866,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,227,TRUE,15,0.481838396230109,0.996096142901866,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,237,TRUE,15,0.481838396230109,0.996096142901866,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,86,TRUE,15,0.481838396230109,0.996096142901866,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,48,TRUE,15,0.481838396230109,0.996096142901866,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,231,TRUE,16,0.412196969481073,0.85212763164655,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,240,TRUE,16,0.412196969481073,0.85212763164655,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,254,TRUE,16,0.412196969481073,0.85212763164655,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,97,TRUE,16,0.412196969481073,0.85212763164655,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,49,TRUE,16,0.412196969481073,0.85212763164655,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,238,TRUE,17,0.352621009406314,0.728967284724337,1e-07,"case_relative_change"
2,1,1e-08,0,TRUE,247,TRUE,17,0.352621009406314,0.728967284724337,1e-07,"case_relative_change"
3,1,1e-08,0,TRUE,265,TRUE,17,0.352621009406314,0.728967284724337,1e-07,"case_relative_change"
4,1,1e-08,0,TRUE,114,TRUE,17,0.352621009406314,0.728967284724337,1e-07,"case_relative_change"
5,1,1e-08,0,TRUE,48,TRUE,17,0.352621009406314,0.728967284724337,1e-07,"case_relative_change"
1,1,1e-08,0,TRUE,303,TRUE,18,0.301655726463164,0.623607640995718,1e-07,"case_relative_change"
