"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_converged","pn_elapsed_sec","pn_cum_elapsed_sec","pg_final_loss","pg_converged","pg_elapsed_sec","pg_cum_elapsed_sec","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
1,4.28601756969282,8.86040963730461,138.086023084597,TRUE,0.0827329158782959,0.0827329158782959,138.086023084596,TRUE,0.0487039089202881,0.0487039089202881,"case_norm_mode",1e-05,1e-06,1e-08,10000
10,1.05168203547115,2.17412399528183,115.188498706298,TRUE,3.8285801410675,32.0606961250305,115.250316200254,FALSE,4.80089211463928,9.95636653900146,"case_norm_mode",1e-05,1e-06,1e-08,10000
11,0.899679542499283,1.85989188313518,110.627877174213,TRUE,4.89322900772095,36.9539251327515,110.644517805931,FALSE,4.77432894706726,14.7306954860687,"case_norm_mode",1e-05,1e-06,1e-08,10000
12,0.769646387302891,1.5910766011778,106.034855316976,TRUE,7.26436996459961,44.2182950973511,106.048518268135,FALSE,4.90135383605957,19.6320493221283,"case_norm_mode",1e-05,1e-06,1e-08,10000
13,0.658407281155739,1.3611139302077,101.468409629137,TRUE,39.0442209243774,83.2625160217285,101.471631907509,FALSE,4.79363298416138,24.4256823062897,"case_norm_mode",1e-05,1e-06,1e-08,10000
14,0.563245868531947,1.16438839565236,96.9715579042804,TRUE,5.470782995224,88.7332990169525,96.9839399814419,FALSE,4.79835605621338,29.224038362503,"case_norm_mode",1e-05,1e-06,1e-08,10000
15,0.481838396230109,0.996096142901866,92.578664052715,TRUE,5.49199891090393,94.2252979278564,92.5863182418582,FALSE,4.77705407142639,34.0010924339294,"case_norm_mode",1e-05,1e-06,1e-08,10000
16,0.412196969481073,0.85212763164655,88.3200035489769,TRUE,5.50380086898804,99.7290987968445,88.3295520008143,FALSE,4.78906798362732,38.7901604175568,"case_norm_mode",1e-05,1e-06,1e-08,10000
17,0.352621009406314,0.728967284724337,84.2114613863133,TRUE,5.62472891807556,105.35382771492,84.2173815230334,FALSE,4.8249089717865,43.6150693893433,"case_norm_mode",1e-05,1e-06,1e-08,10000
18,0.301655726463164,0.623607640995718,80.2622249257912,TRUE,0.398364782333374,105.752192497253,80.2714683660564,FALSE,4.79348611831665,48.4085555076599,"case_norm_mode",1e-05,1e-06,1e-08,10000
19,0.258056595837054,0.533475915939497,76.4798090041923,TRUE,0.894676923751831,106.646869421005,76.4806873905386,FALSE,4.81409311294556,53.2226486206055,"case_norm_mode",1e-05,1e-06,1e-08,10000
2,3.66654767904032,7.57979029781112,138.086023084597,FALSE,2.06824517250061,2.15097808837891,138.031323371779,TRUE,0.050886869430542,0.0995907783508301,"case_norm_mode",1e-05,1e-06,1e-08,10000
20,0.220758967302882,0.456371176647336,72.8693831009694,TRUE,4.88035202026367,111.527221441269,72.8729209330557,FALSE,4.82201600074768,58.0446646213531,"case_norm_mode",1e-05,1e-06,1e-08,10000
21,0.188852067456581,0.390410597088876,69.4336824978052,TRUE,5.0565869808197,116.583808422089,69.4480751148132,FALSE,4.84982204437256,62.8944866657257,"case_norm_mode",1e-05,1e-06,1e-08,10000
22,0.161556759475561,0.333983481251,66.177250880481,TRUE,5.03600811958313,121.619816541672,66.177267168603,TRUE,1.40491795539856,64.2994046211243,"case_norm_mode",1e-05,1e-06,1e-08,10000
23,0.138206517322057,0.285711931439055,63.0970389034037,TRUE,5.04054284095764,126.660359382629,63.106627430852,FALSE,4.81007099151611,69.1094756126404,"case_norm_mode",1e-05,1e-06,1e-08,10000
24,0.118231149797118,0.244417201296511,60.1890305046199,TRUE,4.80198884010315,131.462348222733,60.1984088268231,FALSE,4.79003596305847,73.8995115756989,"case_norm_mode",1e-05,1e-06,1e-08,10000
25,0.101142877001776,0.209090911915109,57.4365047535435,TRUE,0.600492000579834,132.062840223312,57.4406845275679,FALSE,4.87663698196411,78.776148557663,"case_norm_mode",1e-05,1e-06,1e-08,10000
26,0.0865244192055192,0.178870428159656,54.8333128682403,TRUE,1.03282499313354,133.095665216446,54.8405422708313,FALSE,4.83075094223022,83.6068994998932,"case_norm_mode",1e-05,1e-06,1e-08,10000
27,0.0740188072633227,0.153017793920229,52.3770132224263,TRUE,1.00943398475647,134.105099201202,52.3817924427873,FALSE,4.74840211868286,88.355301618576,"case_norm_mode",1e-05,1e-06,1e-08,10000
28,0.0633206657610876,0.130901711910223,50.0636405639316,TRUE,0.994699954986572,135.099799156189,50.066708763643,FALSE,4.83691477775574,93.1922163963318,"case_norm_mode",1e-05,1e-06,1e-08,10000
29,0.054168756032011,0.111982127973692,47.8917794131093,TRUE,6.23473310470581,141.334532260895,47.894433598037,FALSE,4.7601900100708,97.9524064064026,"case_norm_mode",1e-05,1e-06,1e-08,10000
3,3.13661147302283,6.4842623886032,137.555016786726,FALSE,3.33517813682556,5.48615622520447,137.537996433983,TRUE,0.0491790771484375,0.148769855499268,"case_norm_mode",1e-05,1e-06,1e-08,10000
30,0.0463395969512803,0.0957970434650741,45.857420762773,TRUE,5.55349493026733,146.888027191162,45.8596287968047,FALSE,4.81843185424805,102.770838260651,"case_norm_mode",1e-05,1e-06,1e-08,10000
