"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol","case"
1,4.28601756969282,8.86040963730461,"Prox-Newton",2,124,TRUE,"PN stop modes reached: relative_change",0.0983948707580566,138.086023084596,1e-07,"case_relative_change"
2,3.66654767904032,7.57979029781112,"Prox-Newton",1,3000,FALSE,"PN step failed to decrease objective",1.93325901031494,138.086023084596,1e-07,"case_relative_change"
3,3.13661147302283,6.4842623886032,"Prox-Newton",4,5085,FALSE,"PN step failed to decrease objective",3.29748201370239,137.555016243615,1e-07,"case_relative_change"
4,2.68326840230086,5.54707413691853,"Prox-Newton",5,3248,TRUE,"PN stop modes reached: relative_change",22.2709341049194,136.310726991694,1e-07,"case_relative_change"
5,2.29544825067144,4.74534027718437,"Prox-Newton",5,1429,TRUE,"PN stop modes reached: relative_change",4.86422514915466,134.237597235219,1e-07,"case_relative_change"
6,1.96368081068312,4.05948321411427,"Prox-Newton",5,357,TRUE,"PN stop modes reached: relative_change",0.26461386680603,131.372352578983,1e-07,"case_relative_change"
7,1.67986462997683,3.47275495603733,"Prox-Newton",5,379,TRUE,"PN stop modes reached: relative_change",0.27140998840332,127.863931534356,1e-07,"case_relative_change"
8,1.4370691813531,2.97082814451621,"Prox-Newton",5,1263,TRUE,"PN stop modes reached: relative_change",5.92366790771484,123.902914247829,1e-07,"case_relative_change"
9,1.22936562574292,2.54144619357784,"Prox-Newton",10,10000,TRUE,"PN stop modes reached: relative_change",57.8069751262665,119.641518047145,1e-07,"case_relative_change"
10,1.05168203547115,2.17412399528183,"Prox-Newton",5,5000,TRUE,"PN stop modes reached: relative_change",27.929162979126,115.18849870449,1e-07,"case_relative_change"
11,0.899679542499283,1.85989188313518,"Prox-Newton",5,6000,TRUE,"PN stop modes reached: relative_change",36.4052090644836,110.62788095666,1e-07,"case_relative_change"
12,0.769646387302891,1.5910766011778,"Prox-Newton",5,7000,TRUE,"PN stop modes reached: relative_change",41.8604459762573,106.034855316636,1e-07,"case_relative_change"
13,0.658407281155739,1.3611139302077,"Prox-Newton",6,2546,TRUE,"PN stop modes reached: relative_change",38.6984930038452,101.468409625878,1e-07,"case_relative_change"
14,0.563245868531947,1.16438839565236,"Prox-Newton",5,841,TRUE,"PN stop modes reached: relative_change",5.73730802536011,96.9715579008841,1e-07,"case_relative_change"
15,0.481838396230109,0.996096142901866,"Prox-Newton",5,812,TRUE,"PN stop modes reached: relative_change",5.69393086433411,92.5786640487667,1e-07,"case_relative_change"
16,0.412196969481073,0.85212763164655,"Prox-Newton",5,871,TRUE,"PN stop modes reached: relative_change",5.663409948349,88.3200035455433,1e-07,"case_relative_change"
17,0.352621009406314,0.728967284724337,"Prox-Newton",5,912,TRUE,"PN stop modes reached: relative_change",5.74975109100342,84.2114613830519,1e-07,"case_relative_change"
18,0.301655726463164,0.623607640995718,"Prox-Newton",5,930,TRUE,"PN stop modes reached: relative_change",0.595716953277588,80.2622249257832,1e-07,"case_relative_change"
19,0.258056595837054,0.533475915939497,"Prox-Newton",5,851,TRUE,"PN stop modes reached: relative_change",1.07973504066467,76.47980900419,1e-07,"case_relative_change"
20,0.220758967302882,0.456371176647336,"Prox-Newton",4,849,TRUE,"PN stop modes reached: relative_change",5.17378687858582,72.8693831003676,1e-07,"case_relative_change"
21,0.188852067456581,0.390410597088876,"Prox-Newton",4,869,TRUE,"PN stop modes reached: relative_change",5.07962489128113,69.4336824970241,1e-07,"case_relative_change"
22,0.161556759475561,0.333983481251,"Prox-Newton",4,908,TRUE,"PN stop modes reached: relative_change",5.00737690925598,66.1772508805334,1e-07,"case_relative_change"
23,0.138206517322057,0.285711931439055,"Prox-Newton",4,909,TRUE,"PN stop modes reached: relative_change",5.14649295806885,63.0970389034141,1e-07,"case_relative_change"
24,0.118231149797118,0.244417201296511,"Prox-Newton",4,1100,TRUE,"PN stop modes reached: relative_change",4.64120006561279,60.189030504663,1e-07,"case_relative_change"
25,0.101142877001776,0.209090911915109,"Prox-Newton",4,1525,TRUE,"PN stop modes reached: relative_change",4.36385989189148,57.4365047536174,1e-07,"case_relative_change"
26,0.0865244192055192,0.178870428159656,"Prox-Newton",4,1058,TRUE,"PN stop modes reached: relative_change",1.19867706298828,54.8333128683478,1e-07,"case_relative_change"
27,0.0740188072633227,0.153017793920229,"Prox-Newton",4,977,TRUE,"PN stop modes reached: relative_change",1.16372990608215,52.37701322246,1e-07,"case_relative_change"
28,0.0633206657610876,0.130901711910223,"Prox-Newton",4,786,TRUE,"PN stop modes reached: relative_change",1.03974795341492,50.0636405639438,1e-07,"case_relative_change"
29,0.054168756032011,0.111982127973692,"Prox-Newton",4,886,TRUE,"PN stop modes reached: relative_change",6.10724496841431,47.8917794132241,1e-07,"case_relative_change"
30,0.0463395969512803,0.0957970434650741,"Prox-Newton",4,1081,TRUE,"PN stop modes reached: relative_change",9.66865110397339,45.8574207627771,1e-07,"case_relative_change"
31,0.03964200773483,0.0819512336719061,"Prox-Newton",4,1826,TRUE,"PN stop modes reached: relative_change",17.9101212024689,43.9601958560059,1e-07,"case_relative_change"
32,0.0339124394823833,0.0701065967948781,"Prox-Newton",4,2816,TRUE,"PN stop modes reached: relative_change",24.0569679737091,42.1978761305816,1e-07,"case_relative_change"
33,0.0290109814653977,0.059973897816312,"Prox-Newton",4,1890,TRUE,"PN stop modes reached: relative_change",15.3902277946472,40.5672857709264,1e-07,"case_relative_change"
34,0.0248179446371843,0.0513057056500027,"Prox-Newton",4,763,TRUE,"PN stop modes reached: relative_change",0.480517864227295,39.0657867365047,1e-07,"case_relative_change"
35,0.021230938937691,0.0438903511041895,"Prox-Newton",4,1815,TRUE,"PN stop modes reached: relative_change",8.42184090614319,37.6916726751952,1e-07,"case_relative_change"
36,0.0181623730234537,0.0375467581167345,"Prox-Newton",4,723,TRUE,"PN stop modes reached: relative_change",0.47551703453064,36.441037820171,1e-07,"case_relative_change"
37,0.0155373153684439,0.0321200220460756,"Prox-Newton",4,771,TRUE,"PN stop modes reached: relative_change",0.481328010559082,35.308875748022,1e-07,"case_relative_change"
38,0.0132916645058849,0.0274776270439327,"Prox-Newton",4,796,TRUE,"PN stop modes reached: relative_change",0.528882026672363,34.2888648407985,1e-07,"case_relative_change"
39,0.0113705837300447,0.0235062101415248,"Prox-Newton",3,1099,TRUE,"PN stop modes reached: relative_change",1.3026020526886,33.3736597545098,1e-07,"case_relative_change"
40,0.00972716203487634,0.0201087930312938,"Prox-Newton",3,724,TRUE,"PN stop modes reached: relative_change",0.447407007217407,32.5553180468181,1e-07,"case_relative_change"
41,0.00832126859087539,0.0172024139468184,"Prox-Newton",3,810,TRUE,"PN stop modes reached: relative_change",1.66235089302063,31.8250971575166,1e-07,"case_relative_change"
42,0.0071185727875427,0.0147161018136279,"Prox-Newton",3,809,TRUE,"PN stop modes reached: relative_change",1.10661506652832,31.1741225923845,1e-07,"case_relative_change"
43,0.00608970591180167,0.0125891432015631,"Prox-Newton",3,813,TRUE,"PN stop modes reached: relative_change",1.07103610038757,30.5939357301017,1e-07,"case_relative_change"
44,0.00520954399133618,0.0107695997592715,"Prox-Newton",3,868,TRUE,"PN stop modes reached: relative_change",1.14106106758118,30.0769556081003,1e-07,"case_relative_change"
45,0.00445659429055048,0.00921303992796748,"Prox-Newton",3,1347,TRUE,"PN stop modes reached: relative_change",0.851568937301636,29.6156574076456,1e-07,"case_relative_change"
46,0.0038124704779531,0.00788145396408534,"Prox-Newton",3,1016,TRUE,"PN stop modes reached: relative_change",0.655035972595215,29.2041206464096,1e-07,"case_relative_change"
47,0.00326144364904004,0.00674232577668861,"Prox-Newton",3,1008,TRUE,"PN stop modes reached: relative_change",0.626435041427612,28.8370229964226,1e-07,"case_relative_change"
48,0.00279005824107379,0.00576783891476746,"Prox-Newton",3,1019,TRUE,"PN stop modes reached: relative_change",0.680699110031128,28.5098403235083,1e-07,"case_relative_change"
49,0.00238680346075426,0.00493419731537282,"Prox-Newton",3,942,TRUE,"PN stop modes reached: relative_change",0.582482099533081,28.218792564608,1e-07,"case_relative_change"
50,0.00204183220135076,0.00422104422588818,"Prox-Newton",3,675,TRUE,"PN stop modes reached: relative_change",0.415032148361206,27.9604259999559,1e-07,"case_relative_change"
51,0.0017467205855129,0.00361096511106137,"Prox-Newton",3,720,TRUE,"PN stop modes reached: relative_change",0.477399826049805,27.7317134182893,1e-07,"case_relative_change"
52,0.00149426226201944,0.00308906240624825,"Prox-Newton",3,921,TRUE,"PN stop modes reached: relative_change",0.594729900360107,27.5298961623423,1e-07,"case_relative_change"
53,0.00127829243338299,0.00264259173273804,"Prox-Newton",3,871,TRUE,"PN stop modes reached: relative_change",0.563613891601562,27.3522600605182,1e-07,"case_relative_change"
54,0.00109353731722829,0.0022606506918767,"Prox-Newton",3,677,TRUE,"PN stop modes reached: relative_change",0.447559118270874,27.1962610320709,1e-07,"case_relative_change"
55,0.000935485365430906,0.00193391263863052,"Prox-Newton",3,692,TRUE,"PN stop modes reached: relative_change",0.475359916687012,27.0595519478812,1e-07,"case_relative_change"
56,0.000800277096307539,0.00165439893358759,"Prox-Newton",3,773,TRUE,"PN stop modes reached: relative_change",0.469404935836792,26.9400199198225,1e-07,"case_relative_change"
57,0.000684610849662435,0.00141528411200309,"Prox-Newton",2,682,TRUE,"PN stop modes reached: relative_change",0.424132108688354,26.835728584572,1e-07,"case_relative_change"
58,0.000585662163315752,0.00121072921229753,"Prox-Newton",2,676,TRUE,"PN stop modes reached: relative_change",0.413679838180542,26.7449191553531,1e-07,"case_relative_change"
59,0.000501014802363725,0.00103573919404487,"Prox-Newton",2,632,TRUE,"PN stop modes reached: relative_change",0.409492969512939,26.6660015696258,1e-07,"case_relative_change"
60,0.000428601756969282,0.00088604096373046,"Prox-Newton",2,831,TRUE,"PN stop modes reached: relative_change",0.512279033660889,26.59754973048,1e-07,"case_relative_change"
