"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
4,12,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_norm_mode"
5,2,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_norm_mode"
6,1,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_norm_mode"
7,1,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_norm_mode"
8,1,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_norm_mode"
9,1,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_norm_mode"
1,116,TRUE,11,0.899679542499283,1.85989188313518,1e-04,"case_norm_mode"
2,122,TRUE,11,0.899679542499283,1.85989188313518,1e-04,"case_norm_mode"
3,17,TRUE,11,0.899679542499283,1.85989188313518,1e-04,"case_norm_mode"
4,12,TRUE,11,0.899679542499283,1.85989188313518,1e-04,"case_norm_mode"
5,2,TRUE,11,0.899679542499283,1.85989188313518,1e-04,"case_norm_mode"
6,1,TRUE,11,0.899679542499283,1.85989188313518,1e-04,"case_norm_mode"
7,1,TRUE,11,0.899679542499283,1.85989188313518,1e-04,"case_norm_mode"
1,105,TRUE,12,0.769646387302891,1.5910766011778,1e-04,"case_norm_mode"
2,110,TRUE,12,0.769646387302891,1.5910766011778,1e-04,"case_norm_mode"
3,19,TRUE,12,0.769646387302891,1.5910766011778,1e-04,"case_norm_mode"
4,12,TRUE,12,0.769646387302891,1.5910766011778,1e-04,"case_norm_mode"
5,2,TRUE,12,0.769646387302891,1.5910766011778,1e-04,"case_norm_mode"
6,1,TRUE,12,0.769646387302891,1.5910766011778,1e-04,"case_norm_mode"
7,1,TRUE,12,0.769646387302891,1.5910766011778,1e-04,"case_norm_mode"
1,1000,FALSE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
2,67,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
3,22,TRUE,13,0.658407281155739,1.3611139302077,1e-04,"case_norm_mode"
