"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol","case"
42,0.0071185727875427,0.0147161018136279,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0125279426574707,32.2376090000278,1e-07,"case_norm_mode"
43,0.00608970591180167,0.0125891432015631,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0125958919525146,31.6090761195814,1e-07,"case_norm_mode"
44,0.00520954399133618,0.0107695997592715,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0130569934844971,31.0441282988954,1e-07,"case_norm_mode"
45,0.00445659429055048,0.00921303992796748,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0106899738311768,30.5370015720204,1e-07,"case_norm_mode"
46,0.0038124704779531,0.00788145396408534,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0130219459533691,30.0823831331565,1e-07,"case_norm_mode"
47,0.00326144364904004,0.00674232577668861,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0108659267425537,29.6749780440051,1e-07,"case_norm_mode"
48,0.00279005824107379,0.00576783891476746,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0123357772827148,29.3100877618253,1e-07,"case_norm_mode"
49,0.00238680346075426,0.00493419731537282,"Prox-Newton",2,10,FALSE,"max_iter reached",0.010998010635376,28.9836629137912,1e-07,"case_norm_mode"
50,0.00204183220135076,0.00422104422588818,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0129070281982422,28.6918728319614,1e-07,"case_norm_mode"
51,0.0017467205855129,0.00361096511106137,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0108299255371094,28.4313390680976,1e-07,"case_norm_mode"
52,0.00149426226201944,0.00308906240624825,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0127511024475098,28.1990035134564,1e-07,"case_norm_mode"
53,0.00127829243338299,0.00264259173273804,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0127980709075928,27.9921122105949,1e-07,"case_norm_mode"
54,0.00109353731722829,0.0022606506918767,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0108258724212646,27.808079824227,1e-07,"case_norm_mode"
55,0.000935485365430906,0.00193391263863052,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0128209590911865,27.6447520234602,1e-07,"case_norm_mode"
56,0.000800277096307539,0.00165439893358759,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0551187992095947,27.5000326024783,1e-07,"case_norm_mode"
57,0.000684610849662435,0.00141528411200309,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0113019943237305,27.3719283922464,1e-07,"case_norm_mode"
58,0.000585662163315752,0.00121072921229753,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0112009048461914,27.2586707911215,1e-07,"case_norm_mode"
59,0.000501014802363725,0.00103573919404487,"Prox-Newton",2,10,FALSE,"max_iter reached",0.013789176940918,27.1587512807312,1e-07,"case_norm_mode"
60,0.000428601756969282,0.00088604096373046,"Prox-Newton",2,10,FALSE,"max_iter reached",0.0108230113983154,27.0708176985292,1e-07,"case_norm_mode"
1,4.28601756969282,8.86040963730461,"Prox-Gradient",1,NA,TRUE,"PG stop modes reached: l2_step_norm",0.000543832778930664,138.086023084596,1e-07,"case_norm_mode"
2,3.66654767904032,7.57979029781112,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00226402282714844,138.032145039065,1e-07,"case_norm_mode"
3,3.13661147302283,6.4842623886032,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0047910213470459,137.578310852991,1e-07,"case_norm_mode"
4,2.68326840230086,5.54707413691853,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.010735034942627,136.484233978122,1e-07,"case_norm_mode"
5,2.29544825067144,4.74534027718437,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00885105133056641,134.60736984084,1e-07,"case_norm_mode"
6,1.96368081068312,4.05948321411427,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0086970329284668,132.022972901305,1e-07,"case_norm_mode"
7,1.67986462997683,3.47275495603733,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0110571384429932,128.892986118763,1e-07,"case_norm_mode"
8,1.4370691813531,2.97082814451621,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00940704345703125,125.507383325763,1e-07,"case_norm_mode"
9,1.22936562574292,2.54144619357784,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0135631561279297,121.814815479478,1e-07,"case_norm_mode"
10,1.05168203547115,2.17412399528183,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0113708972930908,118.119462949946,1e-07,"case_norm_mode"
11,0.899679542499283,1.85989188313518,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0137639045715332,114.464182045977,1e-07,"case_norm_mode"
12,0.769646387302891,1.5910766011778,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0141489505767822,110.941801233379,1e-07,"case_norm_mode"
13,0.658407281155739,1.3611139302077,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0168240070343018,107.557091312008,1e-07,"case_norm_mode"
14,0.563245868531947,1.16438839565236,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0143728256225586,104.314368164372,1e-07,"case_norm_mode"
15,0.481838396230109,0.996096142901866,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.016542911529541,101.218979023252,1e-07,"case_norm_mode"
16,0.412196969481073,0.85212763164655,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0143969058990479,98.2095249375058,1e-07,"case_norm_mode"
17,0.352621009406314,0.728967284724337,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0162110328674316,95.1425324614167,1e-07,"case_norm_mode"
18,0.301655726463164,0.623607640995718,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0114560127258301,91.5430145652901,1e-07,"case_norm_mode"
19,0.258056595837054,0.533475915939497,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.0109930038452148,87.9491812741318,1e-07,"case_norm_mode"
20,0.220758967302882,0.456371176647336,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00272011756896973,84.9408520922446,1e-07,"case_norm_mode"
21,0.188852067456581,0.390410597088876,"Prox-Gradient",2,NA,FALSE,"max_iter reached",0.00274991989135742,82.6908461076245,1e-07,"case_norm_mode"
