"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
2,128.13490464866,-0.411420699250868,0.00317585773387207,0.27010202909679,0.00211240328505748,0.875021983681394,0.533327080270607,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,0.318222386117236,FALSE,0,1,NA,0.109512602128525,0.309994338606266,2.83067274981243,150,100,0.04,0,0,0.0230240821838379,7,1.67986462997683,3.47275495603733,1e-07,"case_oracle_change"
0,125.280177516828,NA,NA,1.37645724715757,0.0111090873152298,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.109512602128525,0.309994338606266,2.83067274981243,150,100,0.04,0,0,0,8,1.4370691813531,2.97082814451621,1e-07,"case_oracle_change"
1,124.5336717528,-0.74650576402793,0.00591150391698217,0.629951483129645,0.00508420152162169,11.4984439472313,0.0800099599775798,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,3.43590405660064,FALSE,0,1,NA,0.109427601948326,0.308635149596494,2.82045063678027,150,100,0.04,0,0,0.00671291351318359,8,1.4370691813531,2.97082814451621,1e-07,"case_oracle_change"
2,124.503545952929,-0.0301257998703335,0.000239981826785542,0.599825683259311,0.00484106273769522,1.17109398646603,0.460597287005403,0,TRUE,FALSE,NA,NA,10,FALSE,1e-09,0.236910152533578,TRUE,1,2,NA,0.112430707346799,0.320632033605308,2.8518190552364,150,100,0.04,0,0,0.0167829990386963,8,1.4370691813531,2.97082814451621,1e-07,"case_oracle_change"
0,121.502669561583,NA,NA,1.84039853798613,0.0153799399112458,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.112430707346799,0.320632033605308,2.8518190552364,150,100,0.04,0,0,0,9,1.22936562574292,2.54144619357784,1e-07,"case_oracle_change"
1,120.711756629271,-0.790912932311727,0.00645629140281003,1.04948560567441,0.00877039685689611,1.28297871777618,0.438024232207511,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,0.522568035016951,FALSE,0,1,NA,0.115287673035163,0.334419327343606,2.90073794135481,150,100,0.04,0,0,0.00705790519714355,9,1.22936562574292,2.54144619357784,1e-07,"case_oracle_change"
2,119.98732325548,-0.7244333737912,0.0059520410669759,0.325052231883205,0.00271641369583489,2.62893310626385,0.27556308444317,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,1.02071895816091,FALSE,0,1,NA,0.116751102095189,0.342626734084524,2.93467665774303,150,100,0.04,1,0.000816326530612245,0.0181949138641357,9,1.22936562574292,2.54144619357784,1e-07,"case_oracle_change"
0,116.601502113725,NA,NA,1.4111279337822,0.0122503980374074,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.116751102095189,0.342626734084524,2.93467665774303,150,100,0.04,1,0.000816326530612245,0,10,1.05168203547115,2.17412399528183,1e-07,"case_oracle_change"
1,115.803035656013,-0.798466457712507,0.0067895940388615,0.61266147606969,0.00531868639572807,2.47617351405375,0.287672636580747,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,1.07842164251959,FALSE,0,1,NA,0.119047811042961,0.355246838118365,2.98406862760515,150,100,0.04,5,0.00408163265306122,0.0116069316864014,10,1.05168203547115,2.17412399528183,1e-07,"case_oracle_change"
2,115.426257732114,-0.376777923898871,0.00322575455152115,0.235883552170819,0.00204777138584806,1.61024915645085,0.383105190371825,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,0.77534136093163,FALSE,0,1,NA,0.121558104961261,0.369571668201108,3.04028816769468,150,100,0.04,5,0.00408163265306122,0.0187098979949951,10,1.05168203547115,2.17412399528183,1e-07,"case_oracle_change"
0,111.677283029774,NA,NA,1.04692862784331,0.00946330357073363,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.121558104961261,0.369571668201108,3.04028816769468,150,100,0.04,5,0.00408163265306122,0,11,0.899679542499283,1.85989188313518,1e-07,"case_oracle_change"
1,111.12942520144,-0.547857828333761,0.00486218529238938,0.499070799509553,0.00451115611269203,1.91195384800467,0.343412036109439,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,1.00416130291102,FALSE,0,1,NA,0.123792110317538,0.388015384494317,3.13441126012816,150,100,0.04,7,0.00571428571428571,0.0123841762542725,11,0.899679542499283,1.85989188313518,1e-07,"case_oracle_change"
2,110.863595991084,-0.265829210355946,0.00237073551280929,0.233241589153607,0.00210829650157514,1.10042984166644,0.476093026371507,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,0.646469589093951,FALSE,0,1,NA,0.126027836142542,0.407922787807808,3.23676737055482,150,100,0.04,7,0.00571428571428571,0.017970085144043,11,0.899679542499283,1.85989188313518,1e-07,"case_oracle_change"
0,106.865682909777,NA,NA,0.82833855767332,0.00781176257038999,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.126027836142542,0.407922787807808,3.23676737055482,150,100,0.04,7,0.00571428571428571,0,12,0.769646387302891,1.5910766011778,1e-07,"case_oracle_change"
1,106.447355502086,-0.418327407691635,0.00387822518160423,0.410011149981685,0.00386666746971912,1.50131932314401,0.399789019637469,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,0.929607726380413,FALSE,0,1,NA,0.127694853579136,0.430938508296984,3.37475235859775,150,100,0.04,11,0.00897959183673469,0.0126121044158936,12,0.769646387302891,1.5910766011778,1e-07,"case_oracle_change"
2,106.220971960493,-0.226383541592853,0.00210692520569721,0.183627608388832,0.00173172583216612,0.82962502201225,0.54656008087394,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,0.550460189709945,FALSE,0,1,NA,0.129575896290209,0.45361406886456,3.50075964628953,150,100,0.04,12,0.00979591836734694,0.0178310871124268,12,0.769646387302891,1.5910766011778,1e-07,"case_oracle_change"
0,102.108850877391,NA,NA,0.63798112554916,0.00628733277944114,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.129575896290209,0.45361406886456,3.50075964628953,150,100,0.04,12,0.00979591836734694,0,13,0.658407281155739,1.3611139302077,1e-07,"case_oracle_change"
1,101.779203315686,-0.329647561705912,0.00319708307192659,0.308333563843249,0.00303864118438435,1.25425382024386,0.443605769243777,0,TRUE,FALSE,NA,NA,5,FALSE,1e-08,0.884269469664513,FALSE,0,1,NA,0.130940407994297,0.479366212047905,3.66094943028422,150,100,0.04,19,0.0155102040816327,0.0128898620605469,13,0.658407281155739,1.3611139302077,1e-07,"case_oracle_change"
