"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_outer_iters","pn_elapsed_sec","pn_converged","pn_stop_reason","target_loss_ref","pg_final_loss_at_stop","pg_target_reached","pg_outer_iters","pg_elapsed_sec","pg_stop_reason","pg_converged","diff_pg_minus_pn","tol_outer","tol_inner_base","tol_inner_floor","max_iter_pg_target"
24,0.118231149797118,0.244417201296511,60.1890305046189,32,4.4240460395813,TRUE,"PN stop modes reached: local_norm",60.1890305046189,60.1975970668352,FALSE,10000,4.90030097961426,"max_iter_no_target",FALSE,0.00856656221635888,1e-04,1e-05,1e-08,10000
25,0.101142877001776,0.209090911915109,57.4365048122976,33,0.218212127685547,TRUE,"PN stop modes reached: local_norm",57.4365048122976,57.4436607132109,FALSE,10000,4.8782479763031,"max_iter_no_target",FALSE,0.00715590091326845,1e-04,1e-05,1e-08,10000
26,0.0865244192055192,0.178870428159656,54.8333129166382,119,0.948364019393921,TRUE,"PN stop modes reached: local_norm",54.8333129166382,54.8405253965292,FALSE,10000,4.95386600494385,"max_iter_no_target",FALSE,0.00721247989093854,1e-04,1e-05,1e-08,10000
27,0.0740188072633227,0.153017793920229,52.3770132224241,10,0.769308090209961,TRUE,"PN stop modes reached: local_norm",52.3770132224241,52.3814365368098,FALSE,10000,4.97752118110657,"max_iter_no_target",FALSE,0.00442331438572552,1e-04,1e-05,1e-08,10000
28,0.0633206657610876,0.130901711910223,50.0636405639265,33,0.84955096244812,TRUE,"PN stop modes reached: local_norm",50.0636405639265,50.0666688977101,FALSE,10000,4.9758951663971,"max_iter_no_target",FALSE,0.00302833378358969,1e-04,1e-05,1e-08,10000
29,0.054168756032011,0.111982127973692,47.8917794163667,14,0.794939041137695,TRUE,"PN stop modes reached: local_norm",47.8917794163667,47.894338387009,FALSE,10000,4.9413731098175,"max_iter_no_target",FALSE,0.00255897064230481,1e-04,1e-05,1e-08,10000
30,0.0463395969512803,0.0957970434650741,45.857420764191,16,5.48527407646179,TRUE,"PN stop modes reached: local_norm",45.857420764191,45.8595435442036,FALSE,10000,4.8027720451355,"max_iter_no_target",FALSE,0.00212278001258426,1e-04,1e-05,1e-08,10000
31,0.03964200773483,0.0819512336719061,43.9601958584585,16,0.28206205368042,TRUE,"PN stop modes reached: local_norm",43.9601958584585,43.9618920196628,FALSE,10000,4.95714688301086,"max_iter_no_target",FALSE,0.00169616120427918,1e-04,1e-05,1e-08,10000
32,0.0339124394823833,0.0701065967948781,42.1978760854547,20,0.915106058120728,TRUE,"PN stop modes reached: local_norm",42.1978760854547,42.1991209637145,FALSE,10000,4.9368531703949,"max_iter_no_target",FALSE,0.00124487825981845,1e-04,1e-05,1e-08,10000
33,0.0290109814653977,0.059973897816312,40.5672857709489,20,0.931549072265625,TRUE,"PN stop modes reached: local_norm",40.5672857709489,40.5678058338138,FALSE,10000,4.89226007461548,"max_iter_no_target",FALSE,0.000520062864943327,1e-04,1e-05,1e-08,10000
34,0.0248179446371843,0.0513057056500027,39.0657867365047,25,1.05686116218567,TRUE,"PN stop modes reached: local_norm",39.0657867365047,39.0661797662785,FALSE,10000,4.85195302963257,"max_iter_no_target",FALSE,0.000393029773739784,1e-04,1e-05,1e-08,10000
35,0.021230938937691,0.0438903511041895,37.6916726752238,18,0.940329074859619,TRUE,"PN stop modes reached: local_norm",37.6916726752238,37.692835523502,FALSE,10000,4.86764979362488,"max_iter_no_target",FALSE,0.00116284827820579,1e-04,1e-05,1e-08,10000
36,0.0181623730234537,0.0375467581167345,36.4410378202031,26,0.401071071624756,TRUE,"PN stop modes reached: local_norm",36.4410378202031,36.4421815217767,FALSE,10000,4.87529802322388,"max_iter_no_target",FALSE,0.0011437015735325,1e-04,1e-05,1e-08,10000
37,0.0155373153684439,0.0321200220460756,35.3088757480524,23,0.32345986366272,TRUE,"PN stop modes reached: local_norm",35.3088757480524,35.3100487399332,FALSE,10000,4.98519206047058,"max_iter_no_target",FALSE,0.00117299188080011,1e-04,1e-05,1e-08,10000
38,0.0132916645058849,0.0274776270439327,34.2888648408278,25,0.374470949172974,TRUE,"PN stop modes reached: local_norm",34.2888648408278,34.2901113519892,FALSE,10000,4.90384483337402,"max_iter_no_target",FALSE,0.00124651116141905,1e-04,1e-05,1e-08,10000
39,0.0113705837300447,0.0235062101415248,33.3736597538305,22,0.334378957748413,TRUE,"PN stop modes reached: local_norm",33.3736597538305,33.3749693123959,FALSE,10000,4.93047499656677,"max_iter_no_target",FALSE,0.00130955856531756,1e-04,1e-05,1e-08,10000
40,0.00972716203487634,0.0201087930312938,32.5553180459093,19,0.381348133087158,TRUE,"PN stop modes reached: local_norm",32.5553180459093,32.5565290904385,FALSE,10000,4.98810696601868,"max_iter_no_target",FALSE,0.00121104452912135,1e-04,1e-05,1e-08,10000
41,0.00832126859087539,0.0172024139468184,31.8250971571768,29,0.521650075912476,TRUE,"PN stop modes reached: local_norm",31.8250971571768,31.8262934216143,FALSE,10000,4.87686610221863,"max_iter_no_target",FALSE,0.00119626443755294,1e-04,1e-05,1e-08,10000
42,0.0071185727875427,0.0147161018136279,31.1741225920028,38,1.31578207015991,TRUE,"PN stop modes reached: local_norm",31.1741225920028,31.1753298670371,FALSE,10000,4.91112780570984,"max_iter_no_target",FALSE,0.00120727503430018,1e-04,1e-05,1e-08,10000
43,0.00608970591180167,0.0125891432015631,30.5939357313799,11,0.954913139343262,TRUE,"PN stop modes reached: local_norm",30.5939357313799,30.595096609308,FALSE,10000,4.85633301734924,"max_iter_no_target",FALSE,0.0011608779280543,1e-04,1e-05,1e-08,10000
44,0.00520954399133618,0.0107695997592715,30.0769556080174,34,1.18252682685852,TRUE,"PN stop modes reached: local_norm",30.0769556080174,30.0781025299262,FALSE,10000,4.93009400367737,"max_iter_no_target",FALSE,0.00114692190873456,1e-04,1e-05,1e-08,10000
45,0.00445659429055048,0.00921303992796748,29.6156574075324,15,0.396637916564941,TRUE,"PN stop modes reached: local_norm",29.6156574075324,29.6168404772438,FALSE,10000,5.10011506080627,"max_iter_no_target",FALSE,0.00118306971146254,1e-04,1e-05,1e-08,10000
46,0.0038124704779531,0.00788145396408534,29.2041206466567,13,0.406496047973633,TRUE,"PN stop modes reached: local_norm",29.2041206466567,29.2053773380501,FALSE,10000,4.94724583625793,"max_iter_no_target",FALSE,0.00125669139335471,1e-04,1e-05,1e-08,10000
47,0.00326144364904004,0.00674232577668861,28.8370229965828,23,0.399282932281494,TRUE,"PN stop modes reached: local_norm",28.8370229965828,28.8383384952463,FALSE,10000,4.90487694740295,"max_iter_no_target",FALSE,0.00131549866357972,1e-04,1e-05,1e-08,10000
