"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol","case"
1,4.28601756969282,8.86040963730461,"Prox-Newton",1,111,TRUE,"PN stop modes reached: local_norm",0.0830459594726562,138.086023084597,1e-04,"case_norm_mode"
2,3.66654767904032,7.57979029781112,"Prox-Newton",1,4000,FALSE,"PN step failed to decrease objective",2.67585682868958,138.086023084597,1e-04,"case_norm_mode"
3,3.13661147302283,6.4842623886032,"Prox-Newton",3,5041,FALSE,"PN step failed to decrease objective",3.40664887428284,137.641763348267,1e-04,"case_norm_mode"
4,2.68326840230086,5.54707413691853,"Prox-Newton",10,207,TRUE,"PN stop modes reached: local_norm",0.678875923156738,136.310727501692,1e-04,"case_norm_mode"
5,2.29544825067144,4.74534027718437,"Prox-Newton",9,2196,TRUE,"PN stop modes reached: local_norm",3.27108907699585,134.237597357416,1e-04,"case_norm_mode"
6,1.96368081068312,4.05948321411427,"Prox-Newton",13,81,TRUE,"PN stop modes reached: local_norm",0.0802369117736816,131.372352704413,1e-04,"case_norm_mode"
7,1.67986462997683,3.47275495603733,"Prox-Newton",13,83,TRUE,"PN stop modes reached: local_norm",0.0840702056884766,127.863931655606,1e-04,"case_norm_mode"
8,1.4370691813531,2.97082814451621,"Prox-Newton",11,185,TRUE,"PN stop modes reached: local_norm",1.94553804397583,123.902914410745,1e-04,"case_norm_mode"
9,1.22936562574292,2.54144619357784,"Prox-Newton",10,181,TRUE,"PN stop modes reached: local_norm",2.01262402534485,119.641518110535,1e-04,"case_norm_mode"
10,1.05168203547115,2.17412399528183,"Prox-Newton",9,289,TRUE,"PN stop modes reached: local_norm",3.82882905006409,115.188498848201,1e-04,"case_norm_mode"
11,0.899679542499283,1.85989188313518,"Prox-Newton",7,271,TRUE,"PN stop modes reached: local_norm",4.93060302734375,110.6278773436,1e-04,"case_norm_mode"
12,0.769646387302891,1.5910766011778,"Prox-Newton",7,250,TRUE,"PN stop modes reached: local_norm",5.0764319896698,106.034855441299,1e-04,"case_norm_mode"
13,0.658407281155739,1.3611139302077,"Prox-Newton",13,1126,TRUE,"PN stop modes reached: local_norm",18.6442420482635,101.46841088142,1e-04,"case_norm_mode"
14,0.563245868531947,1.16438839565236,"Prox-Newton",21,118,TRUE,"PN stop modes reached: local_norm",0.680306911468506,96.9715585975131,1e-04,"case_norm_mode"
15,0.481838396230109,0.996096142901866,"Prox-Newton",11,328,TRUE,"PN stop modes reached: local_norm",0.81805682182312,92.578664048768,1e-04,"case_norm_mode"
16,0.412196969481073,0.85212763164655,"Prox-Newton",9,347,TRUE,"PN stop modes reached: local_norm",0.846474885940552,88.3200035455431,1e-04,"case_norm_mode"
17,0.352621009406314,0.728967284724337,"Prox-Newton",9,350,TRUE,"PN stop modes reached: local_norm",0.841672897338867,84.211461383055,1e-04,"case_norm_mode"
18,0.301655726463164,0.623607640995718,"Prox-Newton",13,144,TRUE,"PN stop modes reached: local_norm",0.78610110282898,80.2622253906302,1e-04,"case_norm_mode"
19,0.258056595837054,0.533475915939497,"Prox-Newton",22,330,TRUE,"PN stop modes reached: local_norm",0.875920057296753,76.4798090041904,1e-04,"case_norm_mode"
20,0.220758967302882,0.456371176647336,"Prox-Newton",17,254,TRUE,"PN stop modes reached: local_norm",4.82176494598389,72.8693831676861,1e-04,"case_norm_mode"
21,0.188852067456581,0.390410597088876,"Prox-Newton",46,261,TRUE,"PN stop modes reached: local_norm",4.88609790802002,69.4336826078599,1e-04,"case_norm_mode"
