"path_index","lambda_gamma","lambda_Omega","pn_elapsed_sec","pg_elapsed_sec","pg_target_reached","tol_outer","tol_inner_base","tol_inner_floor"
1,4.28601756969282,8.86040963730461,0.137588977813721,9.17911529541016e-05,FALSE,1e-04,1e-05,1e-08
2,3.66654767904032,7.57979029781112,1.7062931060791,8.0108642578125e-05,FALSE,1e-04,1e-05,1e-08
3,3.13661147302283,6.4842623886032,2.12741494178772,0.00223684310913086,TRUE,1e-04,1e-05,1e-08
4,2.68326840230086,5.54707413691853,0.715857028961182,0.0210180282592773,TRUE,1e-04,1e-05,1e-08
5,2.29544825067144,4.74534027718437,2.6724750995636,0.0412349700927734,TRUE,1e-04,1e-05,1e-08
6,1.96368081068312,4.05948321411427,0.0530509948730469,0.0200610160827637,TRUE,1e-04,1e-05,1e-08
7,1.67986462997683,3.47275495603733,0.0525851249694824,0.0235600471496582,TRUE,1e-04,1e-05,1e-08
8,1.4370691813531,2.97082814451621,1.9072539806366,0.0238230228424072,TRUE,1e-04,1e-05,1e-08
9,1.22936562574292,2.54144619357784,1.96385884284973,5.01603293418884,FALSE,1e-04,1e-05,1e-08
10,1.05168203547115,2.17412399528183,3.65795207023621,4.93581390380859,FALSE,1e-04,1e-05,1e-08
11,0.899679542499283,1.85989188313518,4.88040590286255,5.08480381965637,FALSE,1e-04,1e-05,1e-08
12,0.769646387302891,1.5910766011778,4.83305788040161,5.04246592521667,FALSE,1e-04,1e-05,1e-08
13,0.658407281155739,1.3611139302077,18.2678639888763,5.04716897010803,FALSE,1e-04,1e-05,1e-08
14,0.563245868531947,1.16438839565236,0.693294048309326,5.09516906738281,FALSE,1e-04,1e-05,1e-08
15,0.481838396230109,0.996096142901866,0.796126127243042,4.90598201751709,FALSE,1e-04,1e-05,1e-08
16,0.412196969481073,0.85212763164655,0.723422050476074,5.10982489585876,FALSE,1e-04,1e-05,1e-08
17,0.352621009406314,0.728967284724337,0.784393072128296,5.04987406730652,FALSE,1e-04,1e-05,1e-08
18,0.301655726463164,0.623607640995718,0.694260835647583,4.89594602584839,FALSE,1e-04,1e-05,1e-08
19,0.258056595837054,0.533475915939497,0.767996072769165,4.93635392189026,FALSE,1e-04,1e-05,1e-08
20,0.220758967302882,0.456371176647336,4.91307806968689,4.91492199897766,FALSE,1e-04,1e-05,1e-08
