"outer_iter","inner_iters","inner_converged","training_loss","elapsed_sec","path_index","lambda_gamma","lambda_Omega","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
3,15,TRUE,127.86471000334,0.0458700656890869,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,12,TRUE,127.863933326514,0.056225061416626,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2,TRUE,127.863932934208,0.0593459606170654,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,127.863932605174,0.0619678497314453,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,127.863932338909,0.0662288665771484,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,127.86393212435,0.0688378810882568,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,127.863931962667,0.0717329978942871,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1,TRUE,127.863931844762,0.0744249820709229,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,1,TRUE,127.863931759967,0.0770778656005859,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
12,1,TRUE,127.863931699213,0.0797388553619385,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
13,1,TRUE,127.863931655606,0.082427978515625,7,1.67986462997683,3.47275495603733,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,132,TRUE,124.035660461417,1.81798887252808,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,18,TRUE,123.920943252072,1.83205890655518,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,15,TRUE,123.903468168406,1.84486794471741,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,12,TRUE,123.902915272055,1.85395002365112,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2,TRUE,123.902915259017,1.85730600357056,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,123.902914984431,1.85995292663574,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,123.902914801795,1.86261606216431,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,123.902914657178,1.86662602424622,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,123.902914548433,1.8692409992218,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1,TRUE,123.902914468654,1.87194204330444,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,1,TRUE,123.902914410745,1.8749828338623,8,1.4370691813531,2.97082814451621,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,128,TRUE,119.758807856002,1.88822197914124,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,19,TRUE,119.656391595204,1.90354204177856,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,15,TRUE,119.641910854068,1.91510891914368,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,12,TRUE,119.641518578087,1.92555785179138,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2,TRUE,119.641518490477,1.92923092842102,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,119.641518483362,1.93190383911133,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,119.641518324112,1.93453097343445,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,119.641518229544,1.93718600273132,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,119.641518160595,1.94136190414429,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1,TRUE,119.641518110535,1.94383382797241,9,1.22936562574292,2.54144619357784,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,124,TRUE,115.294634262757,1.78730511665344,10,1.05168203547115,2.17412399528183,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,131,TRUE,115.20118593909,3.63496899604797,10,1.05168203547115,2.17412399528183,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,16,TRUE,115.188794548096,3.64947605133057,10,1.05168203547115,2.17412399528183,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,12,TRUE,115.188499168772,3.65853905677795,10,1.05168203547115,2.17412399528183,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2,TRUE,115.188499102427,3.66196703910828,10,1.05168203547115,2.17412399528183,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,115.18849906743,3.66463494300842,10,1.05168203547115,2.17412399528183,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,115.188498958283,3.66735506057739,10,1.05168203547115,2.17412399528183,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,115.188498895093,3.67008495330811,10,1.05168203547115,2.17412399528183,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,115.188498848201,3.67400693893433,10,1.05168203547115,2.17412399528183,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,116,TRUE,110.722760472112,2.36876702308655,11,0.899679542499283,1.85989188313518,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,122,TRUE,110.638455430239,4.76614999771118,11,0.899679542499283,1.85989188313518,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,17,TRUE,110.628092340622,4.78016710281372,11,0.899679542499283,1.85989188313518,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,12,TRUE,110.627877536474,4.79015302658081,11,0.899679542499283,1.85989188313518,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2,TRUE,110.62787750707,4.79335498809814,11,0.899679542499283,1.85989188313518,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,110.627877395227,4.79636311531067,11,0.899679542499283,1.85989188313518,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,110.6278773436,4.79914116859436,11,0.899679542499283,1.85989188313518,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,105,TRUE,106.119006641642,2.37286281585693,12,0.769646387302891,1.5910766011778,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,110,TRUE,106.043537062815,4.84620499610901,12,0.769646387302891,1.5910766011778,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,19,TRUE,106.035007874912,4.86141586303711,12,0.769646387302891,1.5910766011778,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,12,TRUE,106.034855632095,4.87105894088745,12,0.769646387302891,1.5910766011778,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2,TRUE,106.034855557964,4.87446093559265,12,0.769646387302891,1.5910766011778,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,106.034855478516,4.87855291366577,12,0.769646387302891,1.5910766011778,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,106.034855441299,4.88112998008728,12,0.769646387302891,1.5910766011778,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,1000,FALSE,101.774736047009,18.4020049571991,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,67,TRUE,101.537705183002,18.4486889839172,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,22,TRUE,101.474588157404,18.4669709205627,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,18,TRUE,101.468489923614,18.4870219230652,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,10,TRUE,101.468413092828,18.4952709674835,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,2,TRUE,101.468412229464,18.4989449977875,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,101.468412216349,18.501739025116,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,101.468411798018,18.5059130191803,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,101.468411613623,18.5086669921875,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1,TRUE,101.468411370124,18.5114409923553,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,1,TRUE,101.468411195046,18.5144309997559,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
12,1,TRUE,101.468411023546,18.5171558856964,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
13,1,TRUE,101.46841088142,18.5199339389801,13,0.658407281155739,1.3611139302077,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,50,TRUE,97.0377784091904,0.620193004608154,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,22,TRUE,96.9773475336714,0.637553930282593,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,18,TRUE,96.971631728269,0.650566101074219,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,10,TRUE,96.9715610567807,0.660846948623657,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2,TRUE,96.9715608098092,0.664251089096069,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,96.9715604030964,0.667081117630005,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,96.9715602151852,0.669883966445923,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,96.971559966211,0.672789096832275,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,96.9715597990099,0.675802946090698,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1,TRUE,96.9715596163438,0.679187059402466,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,1,TRUE,96.9715594794081,0.683424949645996,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
12,1,TRUE,96.9715593366386,0.68605899810791,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
13,1,TRUE,96.9715592257808,0.689023971557617,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
14,1,TRUE,96.9715591108085,0.692049980163574,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
15,1,TRUE,96.9715590206642,0.694729089736938,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
16,1,TRUE,96.9715589265476,0.697489976882935,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
17,1,TRUE,96.9715588526012,0.700354099273682,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
18,1,TRUE,96.9715587747415,0.703094959259033,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
19,1,TRUE,96.9715587135239,0.705986976623535,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
20,1,TRUE,96.971558648617,0.710350036621094,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
21,1,TRUE,96.9715585975131,0.71301794052124,14,0.563245868531947,1.16438839565236,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,51,TRUE,92.637105306274,0.638391971588135,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,23,TRUE,92.5833543444082,0.655320167541504,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,19,TRUE,92.5787169559091,0.670596122741699,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,10,TRUE,92.5786678983895,0.678755044937134,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2,TRUE,92.5786669993235,0.682126998901367,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1,TRUE,92.578666998061,0.686657190322876,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1,TRUE,92.5786668760821,0.689499139785767,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1,TRUE,92.57866623347,0.692543983459473,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,42,TRUE,92.5786640937456,0.733847141265869,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,81,TRUE,92.5786640492473,0.792834997177124,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,97,TRUE,92.578664048768,0.863178014755249,15,0.481838396230109,0.996096142901866,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,52,TRUE,88.3712615397275,0.62087893486023,16,0.412196969481073,0.85212763164655,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,25,TRUE,88.3237710823384,0.640048027038574,16,0.412196969481073,0.85212763164655,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,20,TRUE,88.3200432446648,0.655412912368774,16,0.412196969481073,0.85212763164655,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,12,TRUE,88.3200073240974,0.664958000183105,16,0.412196969481073,0.85212763164655,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,3,TRUE,88.32000704617,0.669203996658325,16,0.412196969481073,0.85212763164655,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,2,TRUE,88.3200059154678,0.674340963363647,16,0.412196969481073,0.85212763164655,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,41,TRUE,88.3200036072852,0.705182075500488,16,0.412196969481073,0.85212763164655,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,86,TRUE,88.320003546172,0.769400119781494,16,0.412196969481073,0.85212763164655,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,106,TRUE,88.3200035455431,0.846292972564697,16,0.412196969481073,0.85212763164655,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,50,TRUE,84.2574856533126,0.647380113601685,17,0.352621009406314,0.728967284724337,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,30,TRUE,84.2145950712027,0.669678926467896,17,0.352621009406314,0.728967284724337,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,21,TRUE,84.2114907396031,0.68632698059082,17,0.352621009406314,0.728967284724337,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,13,TRUE,84.2114636817923,0.698092937469482,17,0.352621009406314,0.728967284724337,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,3,TRUE,84.2114634023533,0.702523946762085,17,0.352621009406314,0.728967284724337,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,2,TRUE,84.2114626995729,0.706093072891235,17,0.352621009406314,0.728967284724337,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,34,TRUE,84.2114614470863,0.734478950500488,17,0.352621009406314,0.728967284724337,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,82,TRUE,84.2114613840577,0.796263933181763,17,0.352621009406314,0.728967284724337,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,115,TRUE,84.211461383055,0.880664110183716,17,0.352621009406314,0.728967284724337,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,52,TRUE,80.3039387908939,0.696739912033081,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,35,TRUE,80.2648794844276,0.721240043640137,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,24,TRUE,80.2622473990226,0.73932695388794,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,14,TRUE,80.2622274648493,0.751779079437256,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,3,TRUE,80.2622269590463,0.755847930908203,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,4,TRUE,80.2622266713559,0.760771989822388,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,4,TRUE,80.2622259345457,0.766127109527588,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,3,TRUE,80.2622257101151,0.771826028823853,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,80.2622255233243,0.774674892425537,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1,TRUE,80.2622255212518,0.777578115463257,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,1,TRUE,80.2622254777102,0.780592918395996,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
12,1,TRUE,80.2622254313458,0.78331708908081,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
13,1,TRUE,80.2622253906302,0.785977125167847,18,0.301655726463164,0.623607640995718,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,62,TRUE,76.516486219623,0.615673780441284,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,39,TRUE,76.4819361321316,0.64493989944458,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,26,TRUE,76.4798252181376,0.663687944412231,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,15,TRUE,76.4798113750051,0.677077770233154,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,3,TRUE,76.4798105352219,0.681119918823242,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,4,TRUE,76.4798103099518,0.686519861221313,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,3,TRUE,76.4798098426414,0.690700769424438,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,2,TRUE,76.479809826535,0.696149826049805,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1,TRUE,76.4798098172516,0.699307918548584,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1,TRUE,76.4798097203707,0.702194929122925,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,1,TRUE,76.4798096614674,0.70488691329956,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
12,1,TRUE,76.4798095194151,0.707760810852051,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
13,1,TRUE,76.4798095180873,0.711009979248047,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
14,1,TRUE,76.479809518047,0.714127779006958,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
15,1,TRUE,76.4798095053872,0.71826696395874,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
16,1,TRUE,76.4798093981035,0.720987796783447,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
17,11,TRUE,76.4798091281411,0.73216986656189,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
18,16,TRUE,76.4798090472052,0.74746584892273,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
19,6,TRUE,76.4798090468663,0.757208824157715,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
20,7,TRUE,76.4798090253653,0.765843868255615,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
21,37,TRUE,76.4798090053208,0.798015832901001,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
22,91,TRUE,76.4798090041904,0.864299774169922,19,0.258056595837054,0.533475915939497,"case_norm_mode",1e-04,1e-05,1e-08,10000
1,115,TRUE,72.9021227866705,4.88579392433167,20,0.220758967302882,0.456371176647336,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,44,TRUE,72.8711275454821,4.91673994064331,20,0.220758967302882,0.456371176647336,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,28,TRUE,72.8693956733061,4.93682789802551,20,0.220758967302882,0.456371176647336,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,15,TRUE,72.8693856559421,4.95112299919128,20,0.220758967302882,0.456371176647336,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,3,TRUE,72.8693845842058,4.95563101768494,20,0.220758967302882,0.456371176647336,"case_norm_mode",1e-04,1e-05,1e-08,10000
