"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol"
3,131.48330386859,-0.31937411700207,0.00240487708415578,NA,NA,0.904335204912245,0.525117635498463,0,TRUE,FALSE,NA,NA,203,TRUE,1e-07,0.303056929865303,FALSE,0,1,NA,0.105998233242427,0.298817540881082,2.81908039162936,149,99,0.0396,0,0,46.8002018928528,6,1.96368081068312,4.05948321411427,1e-05
4,131.385453884317,-0.0978499842736369,0.000738583515177836,NA,NA,0.464167882109263,0.682981789328292,0,TRUE,FALSE,NA,NA,49,TRUE,1e-07,0.162534175994483,FALSE,0,1,NA,0.107464386492822,0.301857008712282,2.80890273106845,149,99,0.0396,0,0,46.836996793747,6,1.96368081068312,4.05948321411427,1e-05
5,131.372656530199,-0.0127973541180779,9.66673735111465e-05,NA,NA,0.160976232727795,0.861344075623693,0,TRUE,FALSE,NA,NA,45,TRUE,1e-07,0.0583002032015245,FALSE,0,1,NA,0.108265559201094,0.303422764737344,2.80257883463901,149,99,0.0396,0,0,46.8689239025116,6,1.96368081068312,4.05948321411427,1e-05
6,131.372352796187,-0.000303734011907864,2.29453740575624e-06,NA,NA,0.0246321446750224,0.975960011792491,0,TRUE,FALSE,NA,NA,37,TRUE,1e-07,0.00907088873934208,FALSE,0,1,"relative_change",0.108423462732805,0.303718553319166,2.80122535901329,149,99,0.0396,0,0,46.8964779376984,6,1.96368081068312,4.05948321411427,1e-05
0,128.390811128776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.108423462732805,0.303718553319166,2.80122535901329,149,99,0.0396,0,0,0,7,1.67986462997683,3.47275495603733,1e-05
1,128.015238146888,-0.375572981887331,0.00290262483565037,NA,NA,0.995505509235782,0.501126153434159,0,TRUE,FALSE,NA,NA,80,TRUE,1e-07,0.364866438599185,FALSE,0,1,NA,0.11017585557856,0.309034645143849,2.80492167291132,150,100,0.04,0,0,0.0578489303588867,7,1.67986462997683,3.47275495603733,1e-05
2,127.885938391889,-0.129299754999792,0.00100220529649823,NA,NA,0.540154537130531,0.649285494339487,0,TRUE,FALSE,NA,NA,51,TRUE,1e-07,0.208673750355021,FALSE,0,1,NA,0.111612617681553,0.314504311500729,2.817820404482,150,100,0.04,0,0,0.0944778919219971,7,1.67986462997683,3.47275495603733,1e-05
3,127.86472360849,-0.0212147833990599,0.000164601225422703,NA,NA,0.208231224095576,0.827656147314478,0,TRUE,FALSE,NA,NA,46,TRUE,1e-07,0.0838709597630417,FALSE,0,1,NA,0.112385372512715,0.317854969909535,2.8282592547671,150,100,0.04,0,0,0.127562046051025,7,1.67986462997683,3.47275495603733,1e-05
4,127.863932966036,-0.00079064245319671,6.13544522548158e-06,NA,NA,0.0397408629484817,0.961778108022238,0,TRUE,FALSE,NA,NA,39,TRUE,1e-07,0.0163869057246245,FALSE,0,1,"relative_change",0.112563983491492,0.318702599120024,2.8313017115649,150,100,0.04,0,0,0.156384944915771,7,1.67986462997683,3.47275495603733,1e-05
0,124.381103104943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.112563983491492,0.318702599120024,2.8313017115649,150,100,0.04,0,0,0,8,1.4370691813531,2.97082814451621,1e-05
1,124.03631915351,-0.344783951433314,0.00274988768558474,NA,NA,0.9449062555063,0.514163598974943,0,TRUE,FALSE,NA,NA,216,TRUE,1e-07,0.387621671066272,FALSE,0,1,NA,0.114695520267908,0.327443072863438,2.85488981695702,150,100,0.04,0,0,1.91614484786987,8,1.4370691813531,2.97082814451621,1e-05
2,123.921125873182,-0.115193280328128,0.000921278562164828,NA,NA,0.506648214639296,0.663724942746113,0,TRUE,FALSE,NA,NA,52,TRUE,1e-07,0.220444406046629,FALSE,0,1,NA,0.116315545338691,0.334968031886558,2.87982170320561,150,100,0.04,0,0,1.95301389694214,8,1.4370691813531,2.97082814451621,1e-05
3,123.903484220794,-0.017641652387681,0.0001412223294048,NA,NA,0.189429197246262,0.840739408714008,0,TRUE,FALSE,NA,NA,46,TRUE,1e-07,0.08615053177628,FALSE,0,1,NA,0.117121151630666,0.339079789567755,2.89512000904004,150,100,0.04,0,0,1.9858238697052,8,1.4370691813531,2.97082814451621,1e-05
4,123.902915010023,-0.000569210771132589,4.55720490652114e-06,NA,NA,0.033715963036509,0.967383726050366,0,TRUE,FALSE,NA,NA,38,TRUE,1e-07,0.015701938210174,FALSE,0,1,"relative_change",0.117288015360215,0.339999362887607,2.89884147023378,150,100,0.04,0,0,2.01346182823181,8,1.4370691813531,2.97082814451621,1e-05
0,120.077602646685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.117288015360215,0.339999362887607,2.89884147023378,150,100,0.04,0,0,0,9,1.22936562574292,2.54144619357784,1e-05
1,119.759257712526,-0.318344934158702,0.00262926360614903,NA,NA,0.900596592030595,0.526150580398338,0,TRUE,FALSE,NA,NA,324,TRUE,1e-07,0.416420119855541,FALSE,0,1,NA,0.119612355257501,0.351767176780606,2.94089332179207,150,100,0.04,1,0.000816326530612245,2.60064911842346,9,1.22936562574292,2.54144619357784,1e-05
2,119.656517494751,-0.102740217775178,0.000850785436423903,NA,NA,0.475831507775574,0.677584124428429,0,TRUE,FALSE,NA,NA,52,TRUE,1e-07,0.234132086237212,FALSE,0,1,NA,0.121277785797029,0.361111077670621,2.977553352392,150,100,0.04,1,0.000816326530612245,2.63690209388733,9,1.22936562574292,2.54144619357784,1e-05
3,119.641921801314,-0.0145956934368883,0.000120968959986129,NA,NA,0.171958017716331,0.853272885959339,0,TRUE,FALSE,NA,NA,47,TRUE,1e-07,0.0885168268238558,FALSE,0,1,NA,0.122061054436885,0.36583909084479,2.99718114457185,150,100,0.04,1,0.000816326530612245,2.66991996765137,9,1.22936562574292,2.54144619357784,1e-05
