"outer_iter","training_loss","delta_loss","relative_obj_change","oracle_gap_abs","oracle_gap_rel","local_norm","step_size","line_search_halvings","line_search_success","line_search_forced","armijo_lhs","armijo_rhs","inner_iters","inner_converged","admm_tol_used","direction_norm_fro","refinement_triggered","refinement_rounds","subproblem_attempts","stop_mode_hit","min_eig","max_eig","kappa","nnz_gamma_total","nnz_gamma_pen","gamma_pen_sparsity","nnz_omega_offdiag_upper","omega_offdiag_sparsity","elapsed_sec","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
0,138.086023084596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492235849873,0.293021497949794,2.85896288162745,50,0,0,0,0,0,1,4.28601756969282,8.86040963730461,1e-04,"case_norm_mode"
1,138.086023084597,1.19371179607697e-12,8.58254316000482e-15,NA,NA,3.00285966828677e-06,0.499998498574674,1,TRUE,FALSE,NA,NA,111,TRUE,1e-07,7.3931947081993e-07,TRUE,2,3,"local_norm",0.102492236557257,0.293021497962124,2.85896286201567,50,0,0,0,0,0.0824339389801025,1,4.28601756969282,8.86040963730461,1e-04,"case_norm_mode"
0,138.086023084597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492236557257,0.293021497962124,2.85896286201567,50,0,0,0,0,0,2,3.66654767904032,7.57979029781112,1e-04,"case_norm_mode"
1,138.086023084597,0,0,NA,NA,0.0362939643814044,0,4,FALSE,FALSE,NA,NA,4000,FALSE,1e-08,0.0106413247138824,TRUE,3,4,NA,0.102492236557257,0.293021497962124,2.85896286201567,50,0,0,0,0,2.67534399032593,2,3.66654767904032,7.57979029781112,1e-04,"case_norm_mode"
0,138.086023084597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102492236557257,0.293021497962124,2.85896286201567,50,0,0,0,0,0,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
1,137.68571134835,-0.400311736247147,0.00287815933886947,NA,NA,1.04010313111786,0.490171298081416,0,TRUE,FALSE,NA,NA,41,TRUE,1e-05,0.279021741382016,FALSE,0,1,NA,0.102492205459355,0.293021496883272,2.85896371894813,94,44,0.0176,0,0,0.0292849540710449,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
2,137.641763348267,-0.0439480000822243,0.00031688917088103,NA,NA,3.86707975201546,0.102731006162977,1,TRUE,FALSE,NA,NA,1000,FALSE,1e-05,1.05834280895702,FALSE,0,1,NA,0.102481911657262,0.292997571882164,2.85901743189625,133,83,0.0332,0,0,0.72132682800293,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
3,137.641763348267,0,0,NA,NA,4.72123615271516,0,4,FALSE,FALSE,NA,NA,4000,FALSE,1e-08,1.27766797324632,TRUE,3,4,NA,0.102481911657262,0.292997571882164,2.85901743189625,133,83,0.0332,0,0,3.4061439037323,3,3.13661147302283,6.4842623886032,1e-04,"case_norm_mode"
0,136.85883020195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.102481911657262,0.292997571882164,2.85901743189625,133,83,0.0332,0,0,0,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
1,136.46782339836,-0.391006803590727,0.00283628406695413,NA,NA,1.01911633675558,0.4952661626258,0,TRUE,FALSE,NA,NA,45,TRUE,1e-05,0.289133051997559,FALSE,0,1,NA,0.102669499039405,0.293000423954184,2.85382150196066,133,83,0.0332,0,0,0.0319759845733643,4,2.68326840230086,5.54707413691853,1e-04,"case_norm_mode"
