"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
2,40,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_relative_change"
3,26,TRUE,19,0.258056595837054,0.533475915939497,1e-04,"case_relative_change"
1,114,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_relative_change"
2,44,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_relative_change"
3,28,TRUE,20,0.220758967302882,0.456371176647336,1e-04,"case_relative_change"
1,122,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_relative_change"
2,48,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_relative_change"
3,28,TRUE,21,0.188852067456581,0.390410597088876,1e-04,"case_relative_change"
1,108,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_relative_change"
2,50,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_relative_change"
3,35,TRUE,22,0.161556759475561,0.333983481251,1e-04,"case_relative_change"
1,68,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_relative_change"
2,45,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_relative_change"
3,30,TRUE,23,0.138206517322057,0.285711931439055,1e-04,"case_relative_change"
1,65,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_relative_change"
2,43,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_relative_change"
3,26,TRUE,24,0.118231149797118,0.244417201296511,1e-04,"case_relative_change"
1,71,TRUE,25,0.101142877001776,0.209090911915109,1e-04,"case_relative_change"
2,40,TRUE,25,0.101142877001776,0.209090911915109,1e-04,"case_relative_change"
3,24,TRUE,25,0.101142877001776,0.209090911915109,1e-04,"case_relative_change"
1,78,TRUE,26,0.0865244192055192,0.178870428159656,1e-04,"case_relative_change"
2,38,TRUE,26,0.0865244192055192,0.178870428159656,1e-04,"case_relative_change"
3,24,TRUE,26,0.0865244192055192,0.178870428159656,1e-04,"case_relative_change"
1,86,TRUE,27,0.0740188072633227,0.153017793920229,1e-04,"case_relative_change"
2,40,TRUE,27,0.0740188072633227,0.153017793920229,1e-04,"case_relative_change"
