"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
11,1,1e-05,0,TRUE,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
12,1,1e-05,0,TRUE,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
13,1,1e-05,0,TRUE,1,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,132,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
2,1,1e-05,0,TRUE,18,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
3,1,1e-05,0,TRUE,15,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
4,1,1e-05,0,TRUE,12,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
5,1,1e-05,0,TRUE,2,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
6,1,1e-05,0,TRUE,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
7,1,1e-05,0,TRUE,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
8,1,1e-05,0,TRUE,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
9,1,1e-05,0,TRUE,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
10,1,1e-05,0,TRUE,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
11,1,1e-05,0,TRUE,1,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,128,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
2,1,1e-05,0,TRUE,19,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
3,1,1e-05,0,TRUE,15,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
4,1,1e-05,0,TRUE,12,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
5,1,1e-05,1,TRUE,2,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
6,1,1e-05,0,TRUE,1,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
7,1,1e-05,0,TRUE,1,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
8,1,1e-05,0,TRUE,1,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
9,1,1e-05,0,TRUE,1,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
10,1,1e-05,0,TRUE,1,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_norm_mode"
1,1,1e-05,0,TRUE,124,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_norm_mode"
2,1,1e-05,0,TRUE,131,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_norm_mode"
3,1,1e-05,0,TRUE,16,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_norm_mode"
