"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol"
44,0.00520954399133618,0.0107695997592715,"Prox-Newton",2,425,TRUE,"PN stop modes reached: relative_change",0.8786301612854,30.0769559474999,1e-05
45,0.00445659429055048,0.00921303992796748,"Prox-Newton",2,504,TRUE,"PN stop modes reached: relative_change",0.337508201599121,29.6156577782246,1e-05
46,0.0038124704779531,0.00788145396408534,"Prox-Newton",2,538,TRUE,"PN stop modes reached: relative_change",0.359644889831543,29.204120964643,1e-05
47,0.00326144364904004,0.00674232577668861,"Prox-Newton",2,449,TRUE,"PN stop modes reached: relative_change",0.330502986907959,28.8370231516695,1e-05
48,0.00279005824107379,0.00576783891476746,"Prox-Newton",2,399,TRUE,"PN stop modes reached: relative_change",0.265865087509155,28.5098404165657,1e-05
49,0.00238680346075426,0.00493419731537282,"Prox-Newton",2,365,TRUE,"PN stop modes reached: relative_change",0.245530843734741,28.2187926111045,1e-05
50,0.00204183220135076,0.00422104422588818,"Prox-Newton",2,354,TRUE,"PN stop modes reached: relative_change",0.239019870758057,27.9604260410852,1e-05
51,0.0017467205855129,0.00361096511106137,"Prox-Newton",2,368,TRUE,"PN stop modes reached: relative_change",0.251136779785156,27.7317134521384,1e-05
52,0.00149426226201944,0.00308906240624825,"Prox-Newton",2,413,TRUE,"PN stop modes reached: relative_change",0.280827045440674,27.5298961769406,1e-05
53,0.00127829243338299,0.00264259173273804,"Prox-Newton",2,391,TRUE,"PN stop modes reached: relative_change",0.289927005767822,27.3522600707661,1e-05
54,0.00109353731722829,0.0022606506918767,"Prox-Newton",2,362,TRUE,"PN stop modes reached: relative_change",0.24179196357727,27.1962610414576,1e-05
55,0.000935485365430906,0.00193391263863052,"Prox-Newton",2,429,TRUE,"PN stop modes reached: relative_change",0.290414094924927,27.0595519526426,1e-05
56,0.000800277096307539,0.00165439893358759,"Prox-Newton",2,429,TRUE,"PN stop modes reached: relative_change",0.290065050125122,26.9400199244375,1e-05
57,0.000684610849662435,0.00141528411200309,"Prox-Newton",2,347,TRUE,"PN stop modes reached: relative_change",0.234693050384521,26.8357285874217,1e-05
58,0.000585662163315752,0.00121072921229753,"Prox-Newton",2,357,TRUE,"PN stop modes reached: relative_change",0.294241905212402,26.7449191581429,1e-05
59,0.000501014802363725,0.00103573919404487,"Prox-Newton",2,340,TRUE,"PN stop modes reached: relative_change",0.226402044296265,26.6660015723852,1e-05
60,0.000428601756969282,0.00088604096373046,"Prox-Newton",2,380,TRUE,"PN stop modes reached: relative_change",0.255362033843994,26.5975497331054,1e-05
1,4.28601756969282,8.86040963730461,"Prox-Gradient",1,NA,TRUE,"gradient mapping tolerance reached",0.000530004501342773,138.086023084596,1e-05
2,3.66654767904032,7.57979029781112,"Prox-Gradient",3,NA,TRUE,"objective stabilized",0.00306200981140137,138.031599840193,1e-05
3,3.13661147302283,6.4842623886032,"Prox-Gradient",6,NA,TRUE,"objective stabilized",0.00568413734436035,137.539170327026,1e-05
4,2.68326840230086,5.54707413691853,"Prox-Gradient",9,NA,TRUE,"objective stabilized",0.00554609298706055,136.311549689325,1e-05
5,2.29544825067144,4.74534027718437,"Prox-Gradient",8,NA,TRUE,"objective stabilized",0.00677013397216797,134.240236152235,1e-05
6,1.96368081068312,4.05948321411427,"Prox-Gradient",10,NA,TRUE,"objective stabilized",0.0248410701751709,131.373146683958,1e-05
7,1.67986462997683,3.47275495603733,"Prox-Gradient",13,NA,TRUE,"objective stabilized",0.0103209018707275,127.867814915785,1e-05
8,1.4370691813531,2.97082814451621,"Prox-Gradient",16,NA,TRUE,"objective stabilized",0.026076078414917,123.904921704422,1e-05
9,1.22936562574292,2.54144619357784,"Prox-Gradient",1000,NA,FALSE,"max_iter reached",0.56452488899231,119.642000322971,1e-05
