"outer_iter","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol"
1,111,TRUE,1,4.28601756969282,8.86040963730461,1e-05
1,4000,FALSE,2,3.66654767904032,7.57979029781112,1e-05
1,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-05
2,63,TRUE,3,3.13661147302283,6.4842623886032,1e-05
3,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-05
4,4000,FALSE,3,3.13661147302283,6.4842623886032,1e-05
1,1000,FALSE,4,2.68326840230086,5.54707413691853,1e-05
2,154,TRUE,4,2.68326840230086,5.54707413691853,1e-05
3,80,TRUE,4,2.68326840230086,5.54707413691853,1e-05
4,59,TRUE,4,2.68326840230086,5.54707413691853,1e-05
1,4000,FALSE,5,2.29544825067144,4.74534027718437,1e-05
1,1000,FALSE,6,1.96368081068312,4.05948321411427,1e-05
2,184,TRUE,6,1.96368081068312,4.05948321411427,1e-05
3,203,TRUE,6,1.96368081068312,4.05948321411427,1e-05
4,49,TRUE,6,1.96368081068312,4.05948321411427,1e-05
5,45,TRUE,6,1.96368081068312,4.05948321411427,1e-05
6,37,TRUE,6,1.96368081068312,4.05948321411427,1e-05
1,80,TRUE,7,1.67986462997683,3.47275495603733,1e-05
2,51,TRUE,7,1.67986462997683,3.47275495603733,1e-05
3,46,TRUE,7,1.67986462997683,3.47275495603733,1e-05
4,39,TRUE,7,1.67986462997683,3.47275495603733,1e-05
1,216,TRUE,8,1.4370691813531,2.97082814451621,1e-05
2,52,TRUE,8,1.4370691813531,2.97082814451621,1e-05
3,46,TRUE,8,1.4370691813531,2.97082814451621,1e-05
4,38,TRUE,8,1.4370691813531,2.97082814451621,1e-05
1,324,TRUE,9,1.22936562574292,2.54144619357784,1e-05
2,52,TRUE,9,1.22936562574292,2.54144619357784,1e-05
3,47,TRUE,9,1.22936562574292,2.54144619357784,1e-05
4,37,TRUE,9,1.22936562574292,2.54144619357784,1e-05
1,332,TRUE,10,1.05168203547115,2.17412399528183,1e-05
2,334,TRUE,10,1.05168203547115,2.17412399528183,1e-05
3,50,TRUE,10,1.05168203547115,2.17412399528183,1e-05
4,40,TRUE,10,1.05168203547115,2.17412399528183,1e-05
1,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
2,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
3,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
4,2000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
5,44,TRUE,11,0.899679542499283,1.85989188313518,1e-05
1,178,TRUE,12,0.769646387302891,1.5910766011778,1e-05
2,185,TRUE,12,0.769646387302891,1.5910766011778,1e-05
3,192,TRUE,12,0.769646387302891,1.5910766011778,1e-05
4,39,TRUE,12,0.769646387302891,1.5910766011778,1e-05
1,1000,FALSE,13,0.658407281155739,1.3611139302077,1e-05
2,1000,FALSE,13,0.658407281155739,1.3611139302077,1e-05
3,183,TRUE,13,0.658407281155739,1.3611139302077,1e-05
4,71,TRUE,13,0.658407281155739,1.3611139302077,1e-05
5,62,TRUE,13,0.658407281155739,1.3611139302077,1e-05
1,175,TRUE,14,0.563245868531947,1.16438839565236,1e-05
2,184,TRUE,14,0.563245868531947,1.16438839565236,1e-05
3,191,TRUE,14,0.563245868531947,1.16438839565236,1e-05
4,49,TRUE,14,0.563245868531947,1.16438839565236,1e-05
1,170,TRUE,15,0.481838396230109,0.996096142901866,1e-05
2,182,TRUE,15,0.481838396230109,0.996096142901866,1e-05
3,192,TRUE,15,0.481838396230109,0.996096142901866,1e-05
4,55,TRUE,15,0.481838396230109,0.996096142901866,1e-05
1,187,TRUE,16,0.412196969481073,0.85212763164655,1e-05
2,194,TRUE,16,0.412196969481073,0.85212763164655,1e-05
3,208,TRUE,16,0.412196969481073,0.85212763164655,1e-05
4,64,TRUE,16,0.412196969481073,0.85212763164655,1e-05
1,194,TRUE,17,0.352621009406314,0.728967284724337,1e-05
2,209,TRUE,17,0.352621009406314,0.728967284724337,1e-05
3,225,TRUE,17,0.352621009406314,0.728967284724337,1e-05
4,73,TRUE,17,0.352621009406314,0.728967284724337,1e-05
1,221,TRUE,18,0.301655726463164,0.623607640995718,1e-05
2,124,TRUE,18,0.301655726463164,0.623607640995718,1e-05
3,112,TRUE,18,0.301655726463164,0.623607640995718,1e-05
4,81,TRUE,18,0.301655726463164,0.623607640995718,1e-05
1,162,TRUE,19,0.258056595837054,0.533475915939497,1e-05
2,117,TRUE,19,0.258056595837054,0.533475915939497,1e-05
3,108,TRUE,19,0.258056595837054,0.533475915939497,1e-05
4,76,TRUE,19,0.258056595837054,0.533475915939497,1e-05
1,235,TRUE,20,0.220758967302882,0.456371176647336,1e-05
2,127,TRUE,20,0.220758967302882,0.456371176647336,1e-05
3,111,TRUE,20,0.220758967302882,0.456371176647336,1e-05
4,77,TRUE,20,0.220758967302882,0.456371176647336,1e-05
1,256,TRUE,21,0.188852067456581,0.390410597088876,1e-05
2,133,TRUE,21,0.188852067456581,0.390410597088876,1e-05
3,109,TRUE,21,0.188852067456581,0.390410597088876,1e-05
4,73,TRUE,21,0.188852067456581,0.390410597088876,1e-05
