"inner_iter","inner_training_loss","r_norm","s_norm","residual_sum","eps_pri","eps_dual","primal_dual_gap","progress_proxy","admm_tol_target","rho","sub_stop_mode","omega_stop_mode","omega_stop_metric","outer_iter","sub_attempt","direction_norm_fro","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
1,138.139489468137,2.70308871087611,0.09841673682308,2.80150544769919,7.10633520177595e-07,7.10633520177595e-07,3803773.1603212,NA,1e-08,1,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
2,138.139403925776,2.12954746847094,0.00285375178031606,2.13240122025126,7.10633520177595e-07,7.10633520177595e-07,2996688.74040553,6.19246246131578e-07,1e-08,2,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
3,138.123425332133,1.14646021180457,0.0684477688602455,1.21490798066482,7.10633520177595e-07,7.10633520177595e-07,1613293.18031334,0.000115670063639459,1e-08,4,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
4,138.275485328892,0.804389147482023,0.757012334138046,1.56140148162007,7.10633520177595e-07,7.10633520177595e-07,1131932.45835209,0.00110089940495884,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
5,138.09731343025,0.448866116171704,0.700765586024347,1.14963170219605,7.10633520177595e-07,7.10633520177595e-07,986113.89151643,0.00128852846344003,1e-08,8,"residual_plus_proxy","duality_gap",0,1,1,0.0397300234203485,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
1,138.091633255355,0.309474967930475,0.0978349365144174,0.407309904444893,7.10633520177595e-08,7.10633520177595e-08,4354916.55182737,NA,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
2,138.08974349683,0.230936052404361,0.0509047084761437,0.281840760880505,7.10633520177595e-08,7.10633520177595e-08,3249720.78922829,1.36848155127461e-05,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
3,138.088607272289,0.18376780089231,0.0361502300341119,0.219918030926421,7.10633520177595e-08,7.10633520177595e-08,2585971.47016628,8.22816026428643e-06,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
4,138.087868330144,0.151441557143083,0.0272557330483322,0.178697290191415,7.10633520177595e-08,7.10633520177595e-08,2131078.1555201,5.35121730997422e-06,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
5,138.087363820337,0.127088390614024,0.0214332601034889,0.148521650717513,7.10633520177595e-08,7.10633520177595e-08,1788381.59199503,3.65354185555611e-06,1e-09,8,"residual_plus_proxy","duality_gap",0,1,2,0.0139874767482461,1,4.28601756969282,8.86040963730461,1e-07,"case_oracle_change"
