"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
1,1,1e-05,4,FALSE,52,TRUE,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
1,2,1e-06,4,FALSE,47,TRUE,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
1,3,1e-07,1,TRUE,12,TRUE,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
2,1,1e-05,0,TRUE,1,TRUE,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
3,1,1e-05,0,TRUE,1,TRUE,1,4.28601756969282,8.86040963730461,1e-04,"case_relative_change"
1,1,1e-05,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-04,"case_relative_change"
1,2,1e-06,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-04,"case_relative_change"
1,3,1e-07,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-04,"case_relative_change"
1,4,1e-08,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-04,"case_relative_change"
1,1,1e-05,0,TRUE,41,TRUE,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
2,1,1e-05,1,TRUE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
3,1,1e-05,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
3,2,1e-06,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
3,3,1e-07,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
3,4,1e-08,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-04,"case_relative_change"
1,1,1e-05,0,TRUE,45,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
2,1,1e-05,0,TRUE,135,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
3,1,1e-05,0,TRUE,14,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
4,1,1e-05,0,TRUE,7,TRUE,4,2.68326840230086,5.54707413691853,1e-04,"case_relative_change"
1,1,1e-05,4,FALSE,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-04,"case_relative_change"
1,2,1e-06,4,FALSE,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-04,"case_relative_change"
1,3,1e-07,4,FALSE,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-04,"case_relative_change"
1,4,1e-08,4,FALSE,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-04,"case_relative_change"
1,1,1e-05,0,TRUE,1000,FALSE,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
2,1,1e-05,0,TRUE,128,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
3,1,1e-05,0,TRUE,140,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
4,1,1e-05,0,TRUE,17,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
5,1,1e-05,0,TRUE,14,TRUE,6,1.96368081068312,4.05948321411427,1e-04,"case_relative_change"
1,1,1e-05,0,TRUE,28,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
2,1,1e-05,0,TRUE,18,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
3,1,1e-05,0,TRUE,15,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
4,1,1e-05,0,TRUE,13,TRUE,7,1.67986462997683,3.47275495603733,1e-04,"case_relative_change"
1,1,1e-05,0,TRUE,132,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
2,1,1e-05,0,TRUE,18,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
3,1,1e-05,0,TRUE,15,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
4,1,1e-05,0,TRUE,13,TRUE,8,1.4370691813531,2.97082814451621,1e-04,"case_relative_change"
1,1,1e-05,0,TRUE,128,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
2,1,1e-05,0,TRUE,19,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
3,1,1e-05,0,TRUE,16,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
4,1,1e-05,0,TRUE,12,TRUE,9,1.22936562574292,2.54144619357784,1e-04,"case_relative_change"
1,1,1e-05,0,TRUE,124,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
2,1,1e-05,0,TRUE,131,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
3,1,1e-05,0,TRUE,16,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
4,1,1e-05,0,TRUE,12,TRUE,10,1.05168203547115,2.17412399528183,1e-04,"case_relative_change"
1,1,1e-05,0,TRUE,116,TRUE,11,0.899679542499283,1.85989188313518,1e-04,"case_relative_change"
