"path_index","lambda_gamma","lambda_Omega","method","outer_iters","inner_iters_total","converged","stop_reason","elapsed_sec","final_loss","solver_tol","case"
39,0.0113705837300447,0.0235062101415248,"Prox-Newton",2,141,TRUE,"PN stop modes reached: relative_change",0.0994260311126709,33.3736979805985,1e-04,"case_relative_change"
40,0.00972716203487634,0.0201087930312938,"Prox-Newton",2,144,TRUE,"PN stop modes reached: relative_change",0.102932214736938,32.5553547276721,1e-04,"case_relative_change"
41,0.00832126859087539,0.0172024139468184,"Prox-Newton",2,148,TRUE,"PN stop modes reached: relative_change",0.102951049804688,31.8251311345443,1e-04,"case_relative_change"
42,0.0071185727875427,0.0147161018136279,"Prox-Newton",2,205,TRUE,"PN stop modes reached: relative_change",0.767632007598877,31.1741409359995,1e-04,"case_relative_change"
43,0.00608970591180167,0.0125891432015631,"Prox-Newton",2,187,TRUE,"PN stop modes reached: relative_change",0.155092000961304,30.5939943811755,1e-04,"case_relative_change"
44,0.00520954399133618,0.0107695997592715,"Prox-Newton",2,210,TRUE,"PN stop modes reached: relative_change",0.703849077224731,30.0770028025276,1e-04,"case_relative_change"
45,0.00445659429055048,0.00921303992796748,"Prox-Newton",2,208,TRUE,"PN stop modes reached: relative_change",0.143257856369019,29.6157054693238,1e-04,"case_relative_change"
46,0.0038124704779531,0.00788145396408534,"Prox-Newton",2,224,TRUE,"PN stop modes reached: relative_change",0.179385900497437,29.2041778353278,1e-04,"case_relative_change"
47,0.00326144364904004,0.00674232577668861,"Prox-Newton",2,183,TRUE,"PN stop modes reached: relative_change",0.123304843902588,28.8370699815015,1e-04,"case_relative_change"
48,0.00279005824107379,0.00576783891476746,"Prox-Newton",2,187,TRUE,"PN stop modes reached: relative_change",0.12698483467102,28.5098914248428,1e-04,"case_relative_change"
49,0.00238680346075426,0.00493419731537282,"Prox-Newton",2,192,TRUE,"PN stop modes reached: relative_change",0.145837068557739,28.2188422740922,1e-04,"case_relative_change"
50,0.00204183220135076,0.00422104422588818,"Prox-Newton",2,177,TRUE,"PN stop modes reached: relative_change",0.123157024383545,27.9604780971957,1e-04,"case_relative_change"
51,0.0017467205855129,0.00361096511106137,"Prox-Newton",2,179,TRUE,"PN stop modes reached: relative_change",0.124958992004395,27.731758392898,1e-04,"case_relative_change"
52,0.00149426226201944,0.00308906240624825,"Prox-Newton",2,171,TRUE,"PN stop modes reached: relative_change",0.120709896087646,27.5299223026814,1e-04,"case_relative_change"
53,0.00127829243338299,0.00264259173273804,"Prox-Newton",1,134,TRUE,"PN stop modes reached: relative_change",0.117260932922363,27.3523086622395,1e-04,"case_relative_change"
54,0.00109353731722829,0.0022606506918767,"Prox-Newton",1,143,TRUE,"PN stop modes reached: relative_change",0.097477912902832,27.1963139168003,1e-04,"case_relative_change"
55,0.000935485365430906,0.00193391263863052,"Prox-Newton",1,81,TRUE,"PN stop modes reached: relative_change",0.0554120540618896,27.0595984185444,1e-04,"case_relative_change"
56,0.000800277096307539,0.00165439893358759,"Prox-Newton",1,73,TRUE,"PN stop modes reached: relative_change",0.0512850284576416,26.9400610953965,1e-04,"case_relative_change"
57,0.000684610849662435,0.00141528411200309,"Prox-Newton",1,71,TRUE,"PN stop modes reached: relative_change",0.0517959594726562,26.8357675991678,1e-04,"case_relative_change"
58,0.000585662163315752,0.00121072921229753,"Prox-Newton",1,70,TRUE,"PN stop modes reached: relative_change",0.0482878684997559,26.7449573121321,1e-04,"case_relative_change"
59,0.000501014802363725,0.00103573919404487,"Prox-Newton",1,68,TRUE,"PN stop modes reached: relative_change",0.0490689277648926,26.6660448252401,1e-04,"case_relative_change"
60,0.000428601756969282,0.00088604096373046,"Prox-Newton",1,66,TRUE,"PN stop modes reached: relative_change",0.0457468032836914,26.59762725389,1e-04,"case_relative_change"
1,4.28601756969282,8.86040963730461,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.05948805809021,138.086023084596,1e-04,"case_relative_change"
2,3.66654767904032,7.57979029781112,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0526659488677979,138.031323371779,1e-04,"case_relative_change"
3,3.13661147302283,6.4842623886032,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0527081489562988,137.537996433983,1e-04,"case_relative_change"
4,2.68326840230086,5.54707413691853,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0532820224761963,136.310726991597,1e-04,"case_relative_change"
5,2.29544825067144,4.74534027718437,"Prox-Gradient",102,NA,TRUE,"PG stop modes reached: relative_change",0.0525088310241699,134.237653045876,1e-04,"case_relative_change"
6,1.96368081068312,4.05948321411427,"Prox-Gradient",101,NA,TRUE,"PG stop modes reached: relative_change",0.0536470413208008,131.372352578972,1e-04,"case_relative_change"
7,1.67986462997683,3.47275495603733,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0529098510742188,127.86393153435,1e-04,"case_relative_change"
8,1.4370691813531,2.97082814451621,"Prox-Gradient",101,NA,TRUE,"PG stop modes reached: relative_change",0.0583281517028809,123.902914247827,1e-04,"case_relative_change"
9,1.22936562574292,2.54144619357784,"Prox-Gradient",5000,NA,FALSE,"max_iter reached",2.53960609436035,119.642000322971,1e-04,"case_relative_change"
10,1.05168203547115,2.17412399528183,"Prox-Gradient",5000,NA,FALSE,"max_iter reached",2.47719383239746,115.207220264264,1e-04,"case_relative_change"
11,0.899679542499283,1.85989188313518,"Prox-Gradient",102,NA,TRUE,"PG stop modes reached: relative_change",0.0883820056915283,110.635574834102,1e-04,"case_relative_change"
12,0.769646387302891,1.5910766011778,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.115617990493774,106.046231846748,1e-04,"case_relative_change"
13,0.658407281155739,1.3611139302077,"Prox-Gradient",101,NA,TRUE,"PG stop modes reached: relative_change",0.104169130325317,101.471752409106,1e-04,"case_relative_change"
14,0.563245868531947,1.16438839565236,"Prox-Gradient",104,NA,TRUE,"PG stop modes reached: relative_change",0.0965859889984131,96.9800386325417,1e-04,"case_relative_change"
15,0.481838396230109,0.996096142901866,"Prox-Gradient",101,NA,TRUE,"PG stop modes reached: relative_change",0.0944311618804932,92.5943833585813,1e-04,"case_relative_change"
16,0.412196969481073,0.85212763164655,"Prox-Gradient",103,NA,TRUE,"PG stop modes reached: relative_change",0.118319034576416,88.3460162978318,1e-04,"case_relative_change"
17,0.352621009406314,0.728967284724337,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0878241062164307,84.255992800762,1e-04,"case_relative_change"
18,0.301655726463164,0.623607640995718,"Prox-Gradient",101,NA,TRUE,"PG stop modes reached: relative_change",0.0844199657440186,80.3594706089624,1e-04,"case_relative_change"
19,0.258056595837054,0.533475915939497,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.084453821182251,76.6414482961392,1e-04,"case_relative_change"
20,0.220758967302882,0.456371176647336,"Prox-Gradient",100,NA,TRUE,"PG stop modes reached: relative_change",0.0817430019378662,73.1062092518197,1e-04,"case_relative_change"
